id,file,screen,observed,mapped_issue_ids,recommendation,proof_required,agent_query,final_result_required
"S01","4a0050ea-556c-495b-b966-18b42952b37b","Option Chain BANKEX/header","BANKEX 0 contracts/strikes, no verified rows, malformed provenance, cramped header.","M005,M006,M020,M021","Clarify source/status/freshness and structured empty reasons; fix responsive header.","BANKEX request trace, support matrix, schema payload, responsive screenshots.","Resolve M005,M006,M020,M021 and return per-issue proof JSON.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S02","e3aa445f-fffc-4069-90af-2f6c377a7b85","Overview","Autonomous loop 2/4, gates 2/7, NO_TRADE, no confidence, mixed evidence cards.","M001,M002,M003,M004,M010,M015,M018","Canonical mode/truth/task/evidence contracts.","Cross-page equality and explainable NO_TRADE artifacts.","Resolve mapped issues using one evaluation ID and prove all overview fields.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S03","459a83f7-f7ef-4152-a072-1fe4bfe526cd","Overview charts","No time-series data; snapshot only.","M016,M017","Add verified series or explicit evidence requirements.","Series schema, coverage/gap report, equity curve.","Implement M016/M017 with deterministic historical fixtures.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S04","882697e1-3a71-4746-9309-77261f03203c","E2E optional watchlist","SENSEX ready, RELIANCE not loaded.","M019","Reason-coded per-symbol states.","Load attempt logs and optional-isolation test.","Implement M019 and show retry/reason proof.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S05","8306c9e5-daa0-4b05-98b9-0821a74ac265","Data Integrity header","Delayed/deploy diagnostics pills detached or clipped.","M006,M008","Responsive card/header layout.","Breakpoint screenshots.","Implement M006/M008 and run visual regression.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S06","4b361eae-78d9-4737-9b83-1125119ead3b","System health badges","ML 0/5d while other pages report 7 days.","M002,M010","Canonical cohort metrics.","Same cohort ID/count/rho in every view.","Implement M002/M010 and return recomputation proof.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S07","30cadab6-d0be-487d-97af-642f1cc88a8a","Data Integrity proof cards","Data partial, validation not proven, ML registry absent, marketfeed health missing.","M011,M012,M013,M014","Coverage, reliability, policy and model lineage contracts.","Coverage matrix, SLO, policy manifest, registry hashes.","Execute mapped backend proof contracts.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S08","7e7a6282-59db-43ff-aced-41c598b6f54f","QC status","QC NOT_READY with no details.","M009","Evidence-backed QC drill-down.","Per-check manifest.","Implement M009.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S09","b67dd492-825a-43c3-ad0f-9e4c5b543d56","NIFTY option-chain table","Complete snapshot but sparse zero/missing rows, expired dates, dense provenance.","M022,M023,M024,M025,M026,M028","Separate structural completeness from usability and preserve nulls.","Per-row quality flags and usability counts.","Resolve mapped chain-quality issues.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
"S10","49f01a76-f7b8-44c9-a26d-a107d5102f70","Mobile/global navigation","Hamburger/header state unclear.","M006,M007","Accessible responsive navigation.","Mobile and keyboard/axe proof.","Implement M006/M007.","Return JSON: {phase:"""",status:""PASS|FAIL|BLOCKED"",completed_issue_ids:[],failed_issue_ids:[],changed_files:[],tests:[],proof_artifacts:[{uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[],security_review:"""",rollback_drill:"""",build_sha:"""",blockers:[],next_phase:"""",owner:"""",completed_at:""""}. No PASS without reproducible evidence URIs/hashes."
