requirement_id,original_prompt_section,requirement_text,status,evidence_class,captured_at_utc,source,repo_file_or_gcp_resource,workflow_run_id,artifact_id,screenshot,api_endpoint,log_query,finding_id,confidence,reason_code,next_action_owner
R0.1,0,Act as coordinated multi-discipline team,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,CURRENT_GITHUB_MAIN+LIVE,14_MULTI_AGENT_CONSENSUS.md,,,,,,,HIGH,,CHATGPT
R0.2,0,Production UI GCP URL authority,DONE_AND_EVIDENCED,REQUEST_SCOPED_LIVE_BROWSER,2026-08-16T06:25:01Z,GCP,02_LIVE_UI_22_TAB_SCORECARD.csv; lane_a_ui,,,,,,,HIGH,,CHATGPT
R0.3,0,No functional remediation / deploy / IAM / rotate / orders,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,GitHub,00_MANIFEST.json; PR242,,,,,,F-014,HIGH,,CHATGPT
R0.4,0,Evidence/documentation branch+PR only,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,GitHub,https://github.com/psw2025-cmd/Genesis_System3/pull/242,,,,,,,HIGH,,CHATGPT
R1.1,1,Read remote main: .cursorrules,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,CURRENT_GITHUB_MAIN,scratch authority exports / gh,,,,,,,HIGH,,CURSOR
R1.2,1,Read remote main: AGENTS.md,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,CURRENT_GITHUB_MAIN,scratch authority exports / gh,,,,,,,HIGH,,CURSOR
R1.3,1,Read remote main: TEMPORAL_TRUTH,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,CURRENT_GITHUB_MAIN,scratch authority exports / gh,,,,,,,HIGH,,CURSOR
R1.4,1,Read remote main: AUTONOMOUS_OPS,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,CURRENT_GITHUB_MAIN,scratch authority exports / gh,,,,,,,HIGH,,CURSOR
R1.5,1,Read remote main: MASTER_GOAL_LOCK,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,CURRENT_GITHUB_MAIN,scratch authority exports / gh,,,,,,,HIGH,,CURSOR
R1.6,1,Read remote main: GOVERNANCE,DONE_AND_EVIDENCED,CURRENT_GITHUB_MAIN,2026-08-16T06:25:01Z,CURRENT_GITHUB_MAIN,scratch authority exports / gh,,,,,,,HIGH,,CURSOR
