issue_id,priority,module,observed_evidence,proof_required,acceptance_criteria,test_cases,owner_agent,when_sequence,ai_agent_query,final_result_required
"M001","P0","Global state","Header simultaneously shows Paper, Live off, Read-only/poll, Analyzer, Sim Live and Dhan live labels.","Versioned state diagram, transition table, API examples for every legal state, unit/property tests, before/after screenshots.","No contradictory labels; every page shows the same five orthogonal state fields; illegal transition fails closed.","State transition matrix; property tests; cross-page Playwright snapshots; market-open/closed/replay fixtures.","Safety Architecture Agent","Phase 0, first 24 hours","You are the Safety Architecture Agent. Resolve M001 in Global state / Trading-mode state machine. Observed evidence: Header simultaneously shows Paper, Live off, Read-only/poll, Analyzer, Sim Live and Dhan live labels.. WHAT: Create one typed state machine separating execution_mode, data_mode, market_session, simulation_mode and order_authority.. HOW: Define legal transitions; reject impossible combinations server-side; expose one canonical /api/runtime/mode response; render badges from it only.. WHERE: Backend runtime schema, Zustand store, header, Decision Intel, Trade, Paper and Sim pages.. WHEN: Phase 0, first 24 hours. Dependencies: None; foundation for all UI truth.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Versioned state diagram, transition table, API examples for every legal state, unit/property tests, before/after screenshots.. Acceptance: No contradictory labels; every page shows the same five orthogonal state fields; illegal transition fails closed.. Run tests: State transition matrix; property tests; cross-page Playwright snapshots; market-open/closed/replay fixtures.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M002","P0","Global state","Progress 2/4, Gates 2/7 and page-specific counts disagree with Live Gate 3/6.","Contract schema, duplicate-logic inventory, same evaluation ID across pages, signed manifest, contract test report.","All pages report identical metrics and gate counts for one evaluation ID.","Cross-page equality; stale-cache; missing-field; version compatibility; failure-closed tests.","Truth Platform Agent","Phase 0-1, 1-3 days","You are the Truth Platform Agent. Resolve M002 in Global state / Canonical truth source. Observed evidence: Progress 2/4, Gates 2/7 and page-specific counts disagree with Live Gate 3/6.. WHAT: Build a single versioned truth/evidence endpoint for gates, progress, model, data and safety.. HOW: UI renders server evaluation; remove client recomputation and stale fallback metrics; attach evaluation_id, source, generated_at and hashes.. WHERE: /api/truth, /api/auto_gates, all overview/audit/gate/model consumers.. WHEN: Phase 0-1, 1-3 days. Dependencies: M001.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Contract schema, duplicate-logic inventory, same evaluation ID across pages, signed manifest, contract test report.. Acceptance: All pages report identical metrics and gate counts for one evaluation ID.. Run tests: Cross-page equality; stale-cache; missing-field; version compatibility; failure-closed tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M003","P1","Global header","[AUTONOMOUS LOOP] Active Task Model evidence/directional bias Progress 2/4 Gates 2/7 has no task definitions or drill-down.","Task contract payload, UI drill-down, heartbeat logs, completed-step artifacts.","2/4 is displayed only with two PASS step artifacts; stalled task alerts after SLA.","Heartbeat expiry; missing owner; step rollback; evidence-link validation.","Program Orchestration Agent","Phase 1, days 2-4","You are the Program Orchestration Agent. Resolve M003 in Global header / Autonomous loop progress. Observed evidence: [AUTONOMOUS LOOP] Active Task Model evidence/directional bias Progress 2/4 Gates 2/7 has no task definitions or drill-down.. WHAT: Make task progress evidence-backed and clickable.. HOW: Expose task_id, four named steps, owner, start/SLA, heartbeat, evidence URI, blocker and next action.. WHERE: Agent status contract and global status banner.. WHEN: Phase 1, days 2-4. Dependencies: M002.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Task contract payload, UI drill-down, heartbeat logs, completed-step artifacts.. Acceptance: 2/4 is displayed only with two PASS step artifacts; stalled task alerts after SLA.. Run tests: Heartbeat expiry; missing owner; step rollback; evidence-link validation.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M004","P1","Global header","Header shows 1 alert while Alerts page says no active alerts and only informational readiness exists.","Alert fixtures, counter contract, screenshots and accessibility output.","No-active-alert state shows 0 incidents; informational badge is visually distinct and correctly labeled.","Counter aggregation; resolved alerts; informational-only; keyboard/screen-reader tests.","Observability UX Agent","Phase 2, days 4-6","You are the Observability UX Agent. Resolve M004 in Global header / Alert badge semantics. Observed evidence: Header shows 1 alert while Alerts page says no active alerts and only informational readiness exists.. WHAT: Separate incident, warning and informational readiness counters.. HOW: Use typed alert severity and active/resolved state; badge accessible label includes category.. WHERE: Alerts API/store/header badge.. WHEN: Phase 2, days 4-6. Dependencies: M002.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Alert fixtures, counter contract, screenshots and accessibility output.. Acceptance: No-active-alert state shows 0 incidents; informational badge is visually distinct and correctly labeled.. Run tests: Counter aggregation; resolved alerts; informational-only; keyboard/screen-reader tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M005","P0","Global header","Market closed/read-only/delayed appears beside Board Live or Dhan Live.","State glossary, badge contract, market-open/closed screenshots.","No “Live” badge without its object and freshness; after-hours snapshots never labeled live quote.","Calendar fixtures; stale snapshot; websocket connected/no ticks; fallback source tests.","Market Data UX Agent","Phase 0-1, days 1-3","You are the Market Data UX Agent. Resolve M005 in Global header / Market/board/live labels. Observed evidence: Market closed/read-only/delayed appears beside Board Live or Dhan Live.. WHAT: Rename statuses to distinguish source, transport and freshness.. HOW: Render Market=CLOSED, Transport=WS_CONNECTED, Data=VERIFIED_SNAPSHOT(age), Execution=LOCKED.. WHERE: Header, Options Intel, Signals, Trade source badges.. WHEN: Phase 0-1, days 1-3. Dependencies: M001,M002.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: State glossary, badge contract, market-open/closed screenshots.. Acceptance: No “Live” badge without its object and freshness; after-hours snapshots never labeled live quote.. Run tests: Calendar fixtures; stale snapshot; websocket connected/no ticks; fallback source tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M006","P1","Global header","Top indices, broker status and autonomous banner overlap or compress; text is clipped at screenshot width.","Visual regression screenshots at 320/375/768/1024/1440/1920 and zero horizontal overflow.","All breakpoints; 200% zoom; long status text; localization expansion.","","Frontend Layout Agent","Phase 2, days 4-7","You are the Frontend Layout Agent. Resolve M006 in Global header / Responsive overflow. Observed evidence: Top indices, broker status and autonomous banner overlap or compress; text is clipped at screenshot width.. WHAT: Implement responsive header layout with priority tiers and overflow menu.. HOW: Use CSS grid/minmax, no fixed widths, wrap status banner, hide noncritical indices behind “More”, test breakpoints.. WHERE: Header components and global shell CSS.. WHEN: Phase 2, days 4-7. Dependencies: M001 badge model.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Visual regression screenshots at 320/375/768/1024/1440/1920 and zero horizontal overflow.. Acceptance: All breakpoints; 200% zoom; long status text; localization expansion.. Run tests: undefined. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M007","P2","Navigation","Hamburger is highlighted but open/closed state and accessible name are unclear.","Keyboard recording, accessibility tree, axe report, mobile screenshots.","WCAG 2.2 AA menu interaction with no focus loss.","Keyboard-only, screen reader, touch targets, route change and Escape tests.","Accessibility Agent","Phase 2, week 1","You are the Accessibility Agent. Resolve M007 in Navigation / Hamburger/menu state. Observed evidence: Hamburger is highlighted but open/closed state and accessible name are unclear.. WHAT: Add explicit expanded state, overlay, focus trap and labels.. HOW: aria-expanded, aria-controls, Escape close, restore focus, active-route visibility.. WHERE: Sidebar/navigation shell.. WHEN: Phase 2, week 1. Dependencies: M006.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Keyboard recording, accessibility tree, axe report, mobile screenshots.. Acceptance: WCAG 2.2 AA menu interaction with no focus loss.. Run tests: Keyboard-only, screen reader, touch targets, route change and Escape tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M008","P2","System health","Delayed badge and Deploy diagnostics pill appear detached/clipped at right edge.","Before/after breakpoint screenshots.","No clipping or detached pills at supported widths.","Breakpoint/zoom/long-build-name visual tests.","Frontend Layout Agent","Phase 3, week 2","You are the Frontend Layout Agent. Resolve M008 in System health / Deploy diagnostics clipping. Observed evidence: Delayed badge and Deploy diagnostics pill appear detached/clipped at right edge.. WHAT: Place diagnostics action inside responsive card header.. HOW: Flex wrap, min-width zero, tooltip and stable alignment.. WHERE: Data Integrity/System Health card header.. WHEN: Phase 3, week 2. Dependencies: M006.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Before/after breakpoint screenshots.. Acceptance: No clipping or detached pills at supported widths.. Run tests: Breakpoint/zoom/long-build-name visual tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M009","P1","System health","QC displays NOT_READY without reasons, timestamp, owner or link.","QC manifest and per-check artifacts.","NOT_READY always includes actionable failed checks and evidence.","No checks, partial checks, stale QC, API error and all-pass tests.","Quality Control Agent","Phase 1, days 2-5","You are the Quality Control Agent. Resolve M009 in System health / QC drill-down. Observed evidence: QC displays NOT_READY without reasons, timestamp, owner or link.. WHAT: Make QC an evidence-backed composite status.. HOW: Expose failed check IDs, evidence, owner, last run and rerun eligibility; add drill-down.. WHERE: QC API and Data Integrity card.. WHEN: Phase 1, days 2-5. Dependencies: M002.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: QC manifest and per-check artifacts.. Acceptance: NOT_READY always includes actionable failed checks and evidence.. Run tests: No checks, partial checks, stale QC, API error and all-pass tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
"M010","P0","System health","Health badge says ML 0/5d while Prediction Audit says 7 days and rho 0.61.","Raw cohort, recomputation notebook/script, endpoint contract, screenshots.","All panels show identical X/N/rho/cohort/timestamp.","Empty cohort; 1/5; 7/5; ties/nulls; stale cache; recomputation tests.","Model Validation Agent","Phase 0-1, days 1-3","You are the Model Validation Agent. Resolve M010 in System health / ML 0/5d ambiguity. Observed evidence: Health badge says ML 0/5d while Prediction Audit says 7 days and rho 0.61.. WHAT: Replace shorthand with canonical cohort metrics and state.. HOW: Display Validated days X/required, predictions N, cohort ID, rho and timestamp from one endpoint.. WHERE: Health banner, Overview, Performance, Prediction Audit, ML Model.. WHEN: Phase 0-1, days 1-3. Dependencies: M002.. Safety: keep LIVE_TRADING_ENABLED=0, do not call broker order APIs, do not fabricate data or proof. Required proof: Raw cohort, recomputation notebook/script, endpoint contract, screenshots.. Acceptance: All panels show identical X/N/rho/cohort/timestamp.. Run tests: Empty cohort; 1/5; 7/5; ties/nulls; stale cache; recomputation tests.. Return the mandatory final-result JSON with artifact URIs and hashes.","Return JSON exactly: {issue_id:"""",status:""PASS|FAIL|BLOCKED"",summary:"""",root_cause:"""",changed_files:[],api_schema_changes:[],db_migrations:[],tests_run:[{name:"""",result:"""",artifact:""""}],proof_artifacts:[{type:""before|after|log|metric|contract|screenshot"",uri:"""",sha256:""""}],before_metrics:{},after_metrics:{},acceptance_checks:[{criterion:"""",result:""PASS|FAIL"",evidence_uri:""""}],security_review:"""",rollback_plan:"""",deployment:{build_sha:"""",environment:"""",deployed_at:""""},blockers:[],owner:"""",next_action:"""",completed_at:""""}. PASS is forbidden without reproducible artifact URIs and hashes."
