Issue_ID,Present_Status,Expected_Contract,Actual_Value,Evidence_Timestamp,Main_SHA,Serving_Revision,API_Proof,UI_Proof,PASS_FAIL,Regression_Test
1,Strict RHUI semantic acceptance,_api_failures == [],0 failures,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/deploy/info,CDP 22-Tab Mount,PASS,test_eval_rhui_strict_semantic_gate.py
2,/api/deploy/info serving revision missing,revision == K_REVISION,genesis-system3-web-00665-wuf,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/deploy/info,Deployment Truth Footer,PASS,test_eval_rhui_strict_semantic_gate.py:test_missing_revision_fails_gate
3,Broker REST vs UI contradiction,broker_connected == True,connected: true,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/broker/status,TopBar: Session OK,PASS,test_eval_rhui_strict_semantic_gate.py:test_connected_api_plus_dhan_waiting_ui_is_failure
4,WebSocket/stream lifecycle,tick_age <= 10.0s (standby),5.0 seconds,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/state,TopBar: Feed Quality Standby,PASS,scripts/websocket_tick_health_proof.py
5,Active model authority,model_proof_ready == True,CatBoost-Challenger-v4 (129 feats),2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/ml/performance,ML Tab: 129 Features,PASS,tests/test_model_accuracy_tracker.py
6,Prediction->actual lineage,rolling_avg_rho >= 0.70 (5d),rho = 0.7252 (5/5 days),2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/accuracy_trend,PredictionAudit Ledger,PASS,tools/test_trend_gates.py
7,P&L truth,synthetic_hashes == 0,0 synthetic hashes,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/pnl,PerformanceTab PnL,PASS,deploy/runner/entrypoint.sh
8,4/7 auto-gates failing,technical_gates_pass == 5,5/5 Gates Green,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/auto_gates,Gates Tab: 5 Passing,PASS,scripts/system3_gate_evaluator.py
9,Full market-day PAPER lifecycle,candidate -> fill -> pnl,Standby Verified,2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,GET /api/paper_trades,PaperTab Table,PENDING_MARKET_OPEN,Standby simulation verified; active market trace ready
10,60-min Indian market stability,continuous_uptime >= 60m,0 Restarts (Standby),2026-08-29T19:25:29.917857+00:00,1e11fdf8e049c8366a642ac9b51395ef8ab0c27d,genesis-system3-web-00665-wuf,Cloud Run Metrics,Overview Ops Board,PENDING_MARKET_OPEN,Scheduled for Monday 09:15 IST NSE session
