rank,symbol,expiry,type,strike,ltp,change,gain_pct,volume,open_interest,source,system_decision,candidate_status,recommendation,proof_required,agent_query,acceptance_criteria,final_result_required
"1","SENSEX","27-Aug-26","PE","66,900","2.25","2.20","4,400.00%","480","100","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate SENSEX 27-Aug-26 PE strike 66,900 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"2","SENSEX","27-Aug-26","PE","67,100","2.60","2.50","2,500.00%","500","180","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate SENSEX 27-Aug-26 PE strike 67,100 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"3","SENSEX","27-Aug-26","PE","67,000","1.75","1.65","1,650.00%","1,920","240","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate SENSEX 27-Aug-26 PE strike 67,000 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"4","SENSEX","27-Aug-26","PE","67,500","2.55","2.40","1,600.00%","18,700","1,520","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate SENSEX 27-Aug-26 PE strike 67,500 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"5","SENSEX","27-Aug-26","PE","67,600","2.95","2.75","1,375.00%","280","60","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate SENSEX 27-Aug-26 PE strike 67,600 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"6","SENSEX","27-Aug-26","PE","67,800","2.00","1.75","700.00%","580","100","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate SENSEX 27-Aug-26 PE strike 67,800 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"7","SENSEX","27-Aug-26","PE","68,200","2.65","2.20","488.89%","1,680","260","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate SENSEX 27-Aug-26 PE strike 68,200 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"8","SENSEX","27-Aug-26","PE","68,100","2.35","1.95","487.50%","1,360","520","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate SENSEX 27-Aug-26 PE strike 68,100 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"9","SENSEX","27-Aug-26","PE","67,700","1.40","1.15","460.00%","2,820","380","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate SENSEX 27-Aug-26 PE strike 67,700 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
"10","FINNIFTY","25-Aug-26","CE","27,850","1.35","1.10","440.00%","60","60","DHAN_OPTION_CHAIN_LIVE","NO_TRADE","SCANNER_EVIDENCE_ONLY","Do not trade from gain ranking alone. Revalidate during market hours; require liquidity, spread, freshness, calibrated model evidence, risk limits and canonical gates. Keep LIVE off.","Verified Dhan snapshot ID and age; bid/ask spread; volume/OI quality; expiry/contract mapping; model version and calibrated out-of-sample confidence; cost/slippage estimate; max-loss scenario; paper eligibility; canonical gate evaluation ID.","Evaluate FINNIFTY 25-Aug-26 CE strike 27,850 as evidence only. Check source/freshness, contract mapping, bid-ask liquidity, abnormal percentage math/base price, costs/slippage, max-loss risk, model calibration and paper eligibility. Reject if any proof is absent. Do not place or recommend a live order.","PAPER_ELIGIBLE only if every required artifact is present, data is fresh in market hours, spread/liquidity thresholds pass, costed expectancy is positive in validated OOS evidence, risk is bounded and canonical gates permit paper evaluation.","Return JSON: {candidate_id:"""", status:""REJECT|WATCH|PAPER_ELIGIBLE"", snapshot_id:"""", source:""dhan"", freshness_seconds:0, liquidity:{volume:0,oi:0,bid_ask_spread:null}, risk:{max_loss:null,slippage:null}, model:{version:null,confidence:null,calibrated:false}, evidence_artifacts:[], blockers:[], generated_at:""""}. No LIVE recommendation."
