root_path,category,git_remote,git_branch,git_sha,dirty_file_count,size_class,classification,keep_or_archive,notes
C:\Users\ADMIN\Genesis_System3\Genesis_System3,code_checkout,psw2025-cmd/Genesis_System3,main,cbbcc2560,103,medium,DUPLICATE,ARCHIVE_THEN_STOP_USING,"13 commits behind origin/main; original working checkout; superseded by C:\Genesis_System3_Clean for active work"
C:\Genesis_System3_Clean,code_checkout,psw2025-cmd/Genesis_System3,varies (currently a feature branch),29c115524/2175fd8f2,~14,medium,AUTHORITATIVE_IMPORT_SOURCE,KEEP,"Canonical clean checkout per operating standard; exact-main lineage; active local dashboard runs from here; branch should be reset to main once open PRs (#445 #446) merge"
E:\Genesis_System3,code_checkout,unknown (stale remote ref),cursor/lxr,01e0a5d0,275,large,STALE,READ_ONLY_ARCHIVE,"9 ahead / 1397 behind its own stale remote; high dirty-file count; do not reconcile automatically; human review required before any action"
C:\openalgo-main,code_checkout,psw2025-cmd/System-3-Openalgo,fix/20260731-positions-audit,72c15b0,661,large,STALE,READ_ONLY_ARCHIVE,"Different repository entirely (legacy OpenAlgo fork), not Genesis_System3; its 4 misdirected Windows Scheduled Tasks were already disabled 2026-09-01; do not run scheduled automation from here again"
C:\Genesis_System3_Runtime,runtime_root,n/a,n/a,n/a,n/a,empty,TARGET_NOT_YET_POPULATED,MIGRATE_INTO,"Created by Gemini per operating standard (state/db/logs/outputs/proofs/backups subfolders); all currently empty; nothing has been pointed at this root yet — Phase B of the master plan"
C:\Genesis_System3_GCP_Extract\firestore_export,evidence,n/a,n/a,n/a,n/a,840KB,SALVAGE_EVIDENCE,KEEP,"One-time Firestore export pulled 2026-09-01; snapshot of whatever runtime state the GCP web service had written; not yet reconciled into any local state SSOT"
C:\Genesis_System3_Archive_20260901.zip,archive,n/a,n/a,n/a,n/a,7.9MB,SALVAGE_EVIDENCE,KEEP,"Codex's SHA-256-manifested backup of 26 ML models + 3 SQLite DBs + 4 forensic reports as of 2026-09-01 17:29; verify still current before relying on it for anything created after that time"
C:\Genesis_System3_Clean\state\historical_market_data.db,state_db,n/a,n/a,n/a,n/a,983KB,CANDIDATE_LOCAL_STATE,KEEP,"SQLite ohlcv_5y table, 6250 rows, 5 symbols, through 2026-08-29; candidate seed for local state SSOT, not yet proven authoritative"
C:\Genesis_System3_Clean\src\storage\live\option_chain.db,state_db,n/a,n/a,n/a,n/a,3.77MB,CANDIDATE_LOCAL_STATE,KEEP,"144 option-chain snapshots, 16190 contracts; historical evidence, zero trade signals recorded"
C:\Genesis_System3_Clean\outputs\db\system3_metrics.sqlite,state_db,n/a,n/a,n/a,n/a,24.5KB,EMPTY_NOT_YET_USED,KEEP,"All inspected tables empty as of last check; not a current PAPER source"
C:\Users\ADMIN\.genesis_vault\secrets.bin,secret_store,n/a,n/a,n/a,n/a,684B,AUTHORITATIVE,KEEP,"Local Windows-DPAPI-encrypted secret vault (upgraded from a weak Fernet key earlier today, independently verified as real CryptProtectData/CryptUnprotectData); holds Dhan client id + access token at minimum"
config/system3_job_scheduler.json,scheduler_config,tracked in repo,n/a,n/a,n/a,25 jobs,AUTHORITATIVE_IMPORT_SOURCE,KEEP,"Already-existing, fully-specified local job scheduler config covering most of a trading day's automation; never yet activated as a running daemon"
core/engine/system3_phase82_job_scheduler.py,scheduler_engine,tracked in repo,n/a,n/a,n/a,557 lines,AUTHORITATIVE_IMPORT_SOURCE,KEEP,"Working daemon that reads the above config; has run_daemon()/run_all_jobs()/run_single_job(); never registered as a Windows Scheduled Task"
scripts/gcp_dhan_token_rotation_job.py,scheduler_gap,tracked in repo,n/a,n/a,n/a,636 lines,GCP_ONLY_NEEDS_LOCAL_ADAPTER,MIGRATE_INTO,"Real Dhan login/TOTP/token logic already implemented; persistence layer is Secret-Manager-only; this is the single highest-priority local-scheduler gap (broker session continuity)"
scripts/system3_laptop_supervisor.py,scheduler_partial,untracked (in progress),n/a,n/a,n/a,86 lines,PARTIAL_OVERLAP,MERGE_OR_SUPERSEDE,"Covers a scheduler-collector-equivalent paper-pipeline tick loop only; overlaps in scope with the phase82 daemon above once that is activated — needs a decision on which owns the recurring loop, not both"
core/security/windows_secret_vault.py,secret_code,untracked (in progress),n/a,n/a,n/a,~70 lines,AUTHORITATIVE,KEEP,"Real Windows DPAPI vault, independently verified 2026-09-01; used by core/utils/env_loader.py's local-first credential resolution chain"
