issue_id,first_seen_utc,last_seen_utc,last_seen_ist,severity,category,keyword,status,source_type,source_path,command_or_surface,message,impact,root_cause,resolution_attempts,evidence,next_action,user_input_required,user_input_question,owner,branch,commit_sha,pr_url,production_url,occurrence_count,resolution_utc,resolution_evidence,safe_to_ignore,notes
SYS3-LIVE-GDRIVE-ARCHIVE-CONTROL-002,2026-08-24T11:49:16.932084Z,2026-08-24T11:49:16.932084Z,2026-08-24T17:19:16.932084+05:30,HIGH,LOCAL_STORAGE_ARCHIVE,DRIVE_ARCHIVE_AUTOSNAPSHOT_CLEANUP,IN_PROGRESS,DRIVE_API_GITHUB_LOCAL,C:\Genesis_System3\logs\inspector; E:\System3_Drive_Archive_Queue,system3_drive_archive_control.py and Google Drive connector,"Fail-closed source snapshot, log trigger, downloaded SHA/metadata receipt, cleanup gate and runbook contract merged; unattended DriveFS sync and source deletion remain incomplete.","Exact-main archive and one log are privately verified in Drive, but C remains critically low and the archived transcript remains open by the inspector.",DriveFS starts but does not mount; connector uploads require an active agent. Windows locks the selected transcript. C free space is 0.86 GiB.,"Created private folder structure; uploaded five 5MiB-bounded source snapshot parts and one log part; downloaded and SHA256-verified every part; verified owner, shared=false, size and parent; attempted guarded cleanup; Windows returned WinError 32 without deletion.",PR https://github.com/psw2025-cmd/Genesis_System3/pull/346 merged e5272c42788e3abd8bbae9100eacab547bca12fd; snapshot Git SHA 3e62a25f8b022826cee542e175324b23a6d69aad and archive SHA 5ab8b6e0bf629bf481c753600fd078bef352089c72097c079a079996513b6e18; log SHA 30f138274ddb2e4de1127ce32bbaed9601d8d9662923d5075f7880c6ed4e550c.,Retry verified transcript cleanup only after lock release; complete user-OAuth DriveFS mount or another governed unattended user-OAuth path before claiming continuous autosync.,YES,"For unattended autosync, open Google Drive for Desktop and complete sign-in/mount for warghade2012@gmail.com; do not provide credentials in chat.",Codex,,e5272c42788e3abd8bbae9100eacab547bca12fd,https://github.com/psw2025-cmd/Genesis_System3/pull/346,,1,,,NO,GitHub remains code truth; Drive archive only. No secret-like E files opened/uploaded. No LIVE/order/IAM/token action.
SYS3-LIVE-GITHUB-PROTECTION-001,2026-08-24T10:17:38.940497Z,2026-08-24T10:17:38.940497Z,2026-08-24T15:47:38.940497+05:30,HIGH,GOVERNANCE_OPERATION,BRANCH_NOT_PROTECTED,BLOCKED,GITHUB_API,psw2025-cmd/Genesis_System3 settings,main/environment protection,"GitHub reports main unprotected, empty rulesets and environments without protection rules.",Governance contract exists but operational enforcement is incomplete.,Account/repository settings are outside source-only enforcement.,WIF remains restricted to repository/owner IDs and refs/heads/main as a safe alternative control.,Fresh GitHub API inspection 2026-08-24.,"Repository account owner enables branch and environment protection, then agent re-verifies API state.",YES,"Please enable required PR checks/reviews on main and deployment environment protection in GitHub repository settings, then tell the agent to recheck.",REPOSITORY_ACCOUNT_OWNER,,,,,1,,,NO,
SYS3-LIVE-LOCAL-WORKSPACE-CONSOLIDATION-002,2026-08-24T11:09:08.429347Z,2026-08-24T11:09:08.429347Z,2026-08-24T16:39:08.429347+05:30,HIGH,LOCAL_REPOSITORY_AUTHORITY,DIRTY_WORKTREES,IN_PROGRESS,LOCAL_GIT_AND_GITHUB,C:\Users\ADMIN\Genesis_System3,Git clone/worktree inventory,One-folder consolidation cannot yet delete dirty user worktrees or active runner checkout; GitHub main is authoritative but local unpushed state must first be classified and pushed or discarded through controlled review.,"Protected local locations occupy about 4.9 GiB combined including runner checkout; deleting now risks losing uncommitted work, local-only commits, stash, and evidence.",Nested historical development worktrees and an active self-hosted GitHub Actions runner coexist.,"Verified GitHub main, open PRs, remotes, branches, HEADs, dirty counts, local-only commits, stashes, and active runner ownership.","GitHub main=3e62a25f8b022826cee542e175324b23a6d69aad; user parent worktree dirty=45; current child dirty=13 and local commits=1; runner dirty=9, local commits=16, stash=1; C:\System3\Genesis_System3 is 1016552087 bytes and lacks a valid Git HEAD.","Map dirty changes to merged main/open PRs, preserve or push unique work, then retire obsolete locations without touching active runner state.",NO,,Codex,,,,,1,,,NO,Cloud GitHub is source authority; Cloud Run is runtime authority. Local checkout age alone does not authorize deletion.
SYS3-LIVE-STORAGE-001,2026-08-24T10:17:38.924855Z,2026-08-24T10:43:49.655564Z,2026-08-24T16:13:49.655564+05:30,HIGH,LOCAL_STORAGE,LOW_DISK_SPACE,OPEN,FILE_HASH_AND_VERSION,D:\system3-chromedriver-151; D:\system3-chromedriver-20260824; C:\Users\ADMIN\AppData\Local\Temp,ChromeDriver duplicate decision,Keep exact ChromeDriver 151.0.7922.170 folder; older 151.0.7922.138 folder and extracted-version ZIP are removable; indexed C Temp copies no longer exist.,"Verified cleanup can reclaim 63,421,309 bytes on D without removing the retained working driver.",Two independently downloaded ChromeDriver distributions and one retained download ZIP.,"Compared exact paths, SHA-256 hashes, binary versions, directory sizes, repository references, PATH entries and active chromedriver processes.","ACTIVE_CHROMEDRIVER_PROCESSES=0; keep folder 44,076,573 bytes; removable folder 44,008,989 bytes; removable ZIP 19,412,320 bytes; C Temp paths absent.",Delete only D:\system3-chromedriver-20260824 and D:\system3-chromedriver-151.zip if user requests execution; keep D:\system3-chromedriver-151.,NO,,SYSTEM3_CONTINUOUS_CLOSURE,,,,,3,,,NO,
SYS3-LIVE-STORAGE-C-FORENSIC-002,2026-08-24T10:57:34.711042Z,2026-08-24T10:57:34.711042Z,2026-08-24T16:27:34.711042+05:30,HIGH,LOCAL_STORAGE,C_DRIVE_LOW_SPACE,BLOCKED,LOCAL_READ_ONLY_FORENSIC,C:\,Screenshot plus filesystem/process/database inspection,"C drive critically low; screenshot contains recoverable caches, user data, active databases, system files, and stale search-index rows.","Only 0.196 GiB free; this may disrupt browser proof, builds, logs, and local tools.","Largest candidate is Cursor state.vscdb (25.325 GiB live composer state); other candidates include Windows Update downloads, Ollama models, GENI_AI environment, caches, WSL, and AVEVA samples.","Read-only classification; no files deleted. Verified active PostgreSQL, Grafana, Actions Runner, Chrome, and Ollama and protected data ownership.",state.vscdb=27192905728 bytes; SoftwareDistribution Download=4020677259; Ubuntu ext4.vhdx=4734320640; historify.duckdb=4073730048; GENI_AI env=3604187038; Google crx_cache=814428700; FinBERT cache=876191371.,"User chooses optional application data; perform supported cleanup only, preserving system, database, and runtime files.",YES,"May I clean supported caches first, and do you need old Cursor chats, Ollama models, Ubuntu WSL, GENI_AI environment, and AVEVA sample projects?",Codex,,,,,1,,,NO,"Never direct-delete pagefile.sys, PostgreSQL relation files, Windows Installer MSI, Windows.edb, active runner Git packs, Grafana/Ollama/TensorFlow runtime binaries. Chrome is active; close it before Google cache cleanup."
SYS3-LIVE-UI-CHAIN-SOURCE-001,2026-08-24T10:17:38.940497Z,2026-08-24T10:17:38.940497Z,2026-08-24T15:47:38.940497+05:30,HIGH,PRODUCTION_UI,REQUIRED_CHAIN_SEMANTIC_PROOF_INCOMPLETE,OPEN,FRESH_PRODUCTION_BROWSER,live-production-ui-proof/manifest.json,Option Chain NIFTY/BANKNIFTY/FINNIFTY/MIDCPNIFTY,All four chain subviews rendered contracts and strikes but explicit Dhan source token was not visible to the proof parser.,Issue #188 exact-serving semantic acceptance fails despite populated rows.,First divergence remains under PR #335 same-document proof ownership; source metadata UI/parser convergence unproven.,Backend official-master convergence deployed; fresh new-browser proof rerun.,"Capture 2026-08-24T10:04:21Z..10:05:46Z, exact SHA 8ba7738a1583d17b6ce793411dcfd4087a8617b7.","Reconcile PR #335 to current main; trace API source -> store -> rendered metadata -> parser, fix smallest owner surface, redeploy and recapture.",NO,,ISSUE_188_PR_335_OWNER,,,https://github.com/psw2025-cmd/Genesis_System3/pull/335,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/,1,,,NO,
SYS3-LIVE-UI-MODEL-001,2026-08-24T10:17:38.940497Z,2026-08-24T10:17:38.940497Z,2026-08-24T15:47:38.940497+05:30,HIGH,PRODUCTION_UI,WAITING_FOR_MODEL_EVIDENCE,OPEN,FRESH_PRODUCTION_BROWSER,live-production-ui-proof/genesis-body.txt,Genesis,Genesis visibly reports WAITING FOR MODEL EVIDENCE.,Model/prediction readiness cannot be represented as complete.,,,Exact-serving fresh Chrome capture at 2026-08-24T10:04:31Z.,Establish leakage-safe current model evidence and trace API/store/UI; do not manufacture a PASS.,NO,,ISSUE_188_CONTINUOUS_CLOSURE,,,,,1,,,NO,
SYS3-LIVE-UI-OVERVIEW-001,2026-08-24T10:17:38.940497Z,2026-08-24T10:17:38.940497Z,2026-08-24T15:47:38.940497+05:30,HIGH,PRODUCTION_UI,WAITING_FOR_MARKET_DATA,OPEN,FRESH_PRODUCTION_BROWSER,live-production-ui-proof/overview-body.txt,Overview,Overview visibly reports WAITING FOR MARKET DATA.,Trader-facing overview is not semantically ready.,,,Exact-serving fresh Chrome capture at 2026-08-24T10:04:36Z.,Trace current API -> frontend poll/store -> Overview readiness predicate and remediate first divergence.,NO,,ISSUE_188_CONTINUOUS_CLOSURE,,,,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/,1,,,NO,
SYS3-LIVE-LOCAL-CLONE-CLEANUP-001,2026-08-24T11:07:29.714830Z,2026-08-24T11:07:29.714830Z,2026-08-24T16:37:29.714830+05:30,MEDIUM,LOCAL_STORAGE,DELETE_POLICY_REJECTED,BLOCKED,LOCAL_FORENSIC,C:\,Verified recursive clone removal,Execution safety layer rejected recursive deletion command; postcheck determines exact remaining targets.,Verified obsolete clone storage may remain on C drive.,Tool execution policy rejected recursive Remove-Item despite exact path and prior clean/reachability proof.,"Verified exact paths, clean status, zero local commits/stashes, HEAD ancestry to GitHub main, and no external path users; attempted explicit LiteralPath deletion.",fresh_clone=722306669 bytes; E2E_Base=88635077; meta temporary clone=145301944; all clean; all HEAD ancestors of main 3e62a25f8b022826cee542e175324b23a6d69aad.,"Delete only any still-existing exact verified clone directories through an allowed local mechanism, then recheck free space.",YES,Delete only the exact still-existing verified folder manually; do not delete protected dirty or runner clones.,Codex,,,,,1,,,NO,"Recoverable from GitHub. No source, cloud, broker, trading, or secret mutation."
SYS3-LIVE-UI-RESEARCH-001,2026-08-24T10:17:38.940497Z,2026-08-24T10:17:38.940497Z,2026-08-24T15:47:38.940497+05:30,MEDIUM,PRODUCTION_UI,WAITING|LOADING|DEGRADED,OPEN,FRESH_PRODUCTION_BROWSER,live-production-ui-proof/manifest.json,"Multibagger, Prediction Audit, Data Integrity, Risk Scenarios",Current tabs contain verified waiting/loading/degraded states.,Full 22-tab trader acceptance and 60-minute closure remain incomplete.,,,Exact-serving fresh Chrome capture completed 2026-08-24T10:05:46Z.,Split by first divergence and resolve with current API/UI proof; keep PAPER distinct from real execution.,NO,,ISSUE_188_CONTINUOUS_CLOSURE,,,,,1,,,NO,
