"Tab (Issues / PullRequests / Actions)","ItemID / Title","Status (Open / Closed / Failed / Passed)","RootCause","ResolutionStep","VerificationProof","ImprovementPotential"
"Issues","#188 / P0: Broker-data/UI parity — indices, equities, full option chains, live charts","Open","labels=P0; issue narrative requires authoritative boundary verification","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-08-24T12:43:05Z; https://github.com/psw2025-cmd/Genesis_System3/issues/188","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#187 / P0: Eliminate recurring GCP uptime-check failures end-to-end","Open","labels=none; issue narrative requires authoritative boundary verification","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-08-23T17:19:22Z; https://github.com/psw2025-cmd/Genesis_System3/issues/187","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#167 / P1 UI responsive/truth: Alerts mobile overlap and transport-state ambiguity","Closed","labels=none; issue narrative requires authoritative boundary verification","Preserve closure proof and watch for recurrence","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-08-23T14:49:52Z; https://github.com/psw2025-cmd/Genesis_System3/issues/167","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#292 / P0/P1: World-class prediction data, features, tournament and accuracy authority","Open","labels=none; issue narrative requires authoritative boundary verification","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-08-18T22:46:04Z; https://github.com/psw2025-cmd/Genesis_System3/issues/292","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#228 / P0: Cloud Run deploy authority drift blocks forensic closure","Open","labels=none; issue narrative requires authoritative boundary verification","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-08-15T18:57:56Z; https://github.com/psw2025-cmd/Genesis_System3/issues/228","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#179 / P0 external admin: disable legacy Render auto-deploy for backend and worker","Open","labels=P0; issue narrative requires authoritative boundary verification","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-08-13T21:01:09Z; https://github.com/psw2025-cmd/Genesis_System3/issues/179","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#176 / P0: add read-only event-driven forensic responder for workflow/deployment failures","Closed","labels=P0; issue narrative requires authoritative boundary verification","Preserve closure proof and watch for recurrence","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-08-13T20:58:53Z; https://github.com/psw2025-cmd/Genesis_System3/issues/176","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#168 / P0 control loop: continuous UI truth, deployment, visual proof, and regression closure","Open","labels=none; issue narrative requires authoritative boundary verification","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-08-13T15:38:18Z; https://github.com/psw2025-cmd/Genesis_System3/issues/168","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#166 / P0 UI runtime: Risk & Scenarios infinite loading and non-authoritative risk truth","Open","labels=none; issue narrative requires authoritative boundary verification","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-08-13T15:13:00Z; https://github.com/psw2025-cmd/Genesis_System3/issues/166","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
"Issues","#161 / Forensic hardening: authoritative Dhan expiry cache; remove calendar guess","Open","labels=none; issue narrative requires authoritative boundary verification","Reproduce from current authority, claim ownership, remediate, verify CI and runtime/UI, then close","captured=2026-08-24T12:48:16.508513+00:00; updated=2026-08-13T03:32:14Z; https://github.com/psw2025-cmd/Genesis_System3/issues/161","Convert repeated cause into regression, sentinel predicate and deduplicated blocker"
