task_id,batch_id,priority,domain,title,owner,specialist,dependencies,status,previous_commitment,acceptance_criteria,required_proof,proof_url_or_artifact,last_action,next_action,blocker,user_visible,target_window,updated_utc
RUHI-001,B001,P0,governance,Land canonical RUHI_RULE_V2 in GitHub,ChatGPT,controller,,DONE,B001,"Rule merged to current main and readable by every agent","GitHub main file + merge SHA","PR #301 merged as c8a626c5cc39a7e6f4bab3c70a8642402d02b521","Merged docs/RUHI_RULE_V2.md through PR #301","Enforce rule in all active Genesis coordination loops","None",NO,completed,2026-08-20T17:55:00Z
RUHI-002,B001,P0,governance,Land authoritative rolling task ledger CSV,ChatGPT,controller,RUHI-001,DONE,B001,"CSV merged to main and referenced by RUHI mail/Issue #188","GitHub main CSV + coordination mail/Issue marker","PR #301 merged; reports/coordination/ruhi_task_ledger.csv on main","Merged authoritative 20-task B001 ledger and sent RUHI B001 mail","Keep rows current; next mail must reconcile this batch","None",NO,continuous,2026-08-20T17:55:00Z
RUHI-003,B001,P0,coordination,Land live multi-agent handoff snapshot,ChatGPT,controller,RUHI-001,DONE,B001,"Handoff merged and current baseline/lane ownership stated","GitHub main handoff + Issue #188 coordination marker","PR #301 merged; Issue #188 RUHI v2 controller marker posted","Merged docs/handoffs/MULTI_AI_COORDINATION_LIVE.md","Agents must read handoff before claiming lanes and update durable state","None",NO,continuous,2026-08-20T17:55:00Z
RUHI-004,B001,P0,production,Reconfirm runtime-affecting main versus serving SHA after PR299,Cursor,UI/GCP,RUHI-003,DONE,B001,"Serving SHA matches latest runtime-affecting main; governance/docs-only main advances are explicitly classified and not treated as runtime drift","Live URL/API plus serving revision/SHA evidence and current main classification","Fresh GET /api/deploy/info 2026-08-22T11:59:07Z git_sha=431bbccac48e5536b8c5bc5eb09863e0a9419b16 matches main after #321 merge; LIVE=false","Recaptured serving SHA after deploy 32571338431 step 12 SUCCESS","Continue semantic broker/UI proof; structural render and docs-only PRs are not acceptance","None",YES,completed,2026-08-22T11:59:07Z
RUHI-005,B001,P0,broker,Restore read-only broker AUTH_OK without weakening token-authority rules,Cursor,GCP/broker,RUHI-004,PARTIAL,B001,"broker connected=true AUTH_OK; LIVE=false; no unsafe extra mint loop","Production broker tab + /api/broker/status + token authority evidence","Fresh /api/broker/status 2026-08-22T10:33:29Z connected=true auth_classification=AUTH_OK mode=ANALYZER LIVE=false orders=false on serving SHA 3661b61b4","Same-session API shows AUTH_OK on exact serving SHA 3661b61b4","Prove live 4/4 Dhan chain source/freshness + no DH-906; AUTH_OK is not live semantic PASS","Weekend MARKET_CLOSED_DHAN_SNAPSHOT 4/4 chains are honest last-verified snapshots not live ticks",YES,current cycle,2026-08-22T10:33:52Z
RUHI-006,B001,P0,broker,Verify first post-PR295 scheduled rotation event,Cursor,GCP/broker,RUHI-005,OPEN,B001,"07:30 IST scheduler rotation succeeds once; no rate-limit storm; broker valid for open","Scheduler/job evidence + Secret Manager version metadata without secret + broker UI/API","Claude predicted this is T7 acceptance event","Waiting for next scheduled rotation event","Capture 07:30 IST event and correlate to 09:15 readiness","Future scheduled event",YES,2026-08-21 07:30-09:15 IST,2026-08-20T17:55:00Z
RUHI-007,B001,P0,UI proof,Re-run semantic production proof under correct market-phase semantics,Cursor,UI/browser,RUHI-004|RUHI-005,OPEN,B001,"Semantic proof passes only when visible UI state is truthful for current phase","Exact-serving-SHA browser artifact + semantic report","PR299 code is serving; new proof still needed","After-hours false-positive code fix merged","Run proof after broker recovery; repeat during market hours","Broker disconnected",YES,after recovery and market open,2026-08-20T17:55:00Z
RUHI-008,B001,P0,UI proof,Capture all dashboard tabs from production URL,Cursor,UI/browser,RUHI-007,OPEN,B001,"Every current tab route renders; each has screenshot/semantic state and no unexplained blank placeholder","Production browser screenshots/artifact indexed by tab and SHA","No fresh complete tab matrix on current serving SHA","Current emails mention partial broker URL only","Enumerate routes from served UI; capture every tab sequentially","Needs browser capture lane",YES,next market session,2026-08-20T17:55:00Z
RUHI-009,B001,P0,UI control,Expose RUHI execution and proof control board on production dashboard,Cursor,UI/dashboard,RUHI-002|RUHI-008,OPEN,B001,"Production dashboard visibly shows current batch, total/DONE/PARTIAL/BLOCKED/open counts, task ID, owner, status, prior commitment result, proof reference, blocker, last action and next action; user can assess progress without reading Gmail/GitHub logs","Exact-serving-SHA production browser proof of control board + sanitized ledger/API source","RUHI v2 ledger now on main; UI board not implemented yet","Converted user request into explicit dashboard acceptance task","Implement read-only RUHI control board from sanitized versioned ledger/JSON/API; ChatGPT validates semantics","Dashboard implementation not yet present",YES,current/next cycles,2026-08-20T17:55:00Z
RUHI-010,B001,P0,paper trade,Forensic local-laptop history for missing paper trades,Cursor,laptop/local repo,RUHI-003,OPEN,B001,"Determine whether paper trades ever existed locally and when/why they stopped with evidence","Local git/log/DB/report inventory summarized to GitHub without secrets","User reports ~2 years without visible paper trades","No durable local-origin forensic found on main","Search historical local roots/checkouts/DBs/logs/tasks and produce evidence map","Only Cursor currently has laptop access",NO,current/next cycles,2026-08-20T17:55:00Z
