issue_id,priority,category,title,status,live_proof,dashboard_url_impact,need_from_user,recommendation,owner,gate_or_blocker,impact_on_user,serving_sha,github_main_sha,updated_utc
PEND-001,P0,deploy,Serving SHA lag behind GitHub main,OPEN,serving=719566d23fd9aeb783a72fcec9493557f783781f main=2c0b44a43837c1de5d05721b61329e9269d0a8a0,https://genesis-system3-web-doq2wplepa-el.a.run.app/api/deploy_info + https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/,None for diagnosis; approve Auto Deploy triage if Actions fail,MRI: gh run list Auto Deploy; fix deploy gate; get serving == main,Cursor-GCP,DEPLOY_LAG,All tabs can show old build; false confidence on merged fixes,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-002,P0,scheduler,Scheduler health UNHEALTHY / transport_healthy=false,OPEN,GET /api/scheduler/health healthy=false business_readiness=PARTIAL,https://genesis-system3-web-doq2wplepa-el.a.run.app/api/scheduler/health + UI health,None,MRI blast radius: Scheduler jobs vs Cloud Run invoke IAM + named gate reasons,Cursor-GCP,SCHEDULER,Jobs (token/data/watchdog) may not run; paper/accuracy proofs starve,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-003,P1,broker,Broker AUTH_OK but keep rotate proof fresh,WATCH,connected=true AUTH_OK secret_version=319 mode=ANALYZER LIVE=false,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=broker,None (do not mint from laptop),Watch next scheduled rotate; if DH-906+Invalid Token ensure PR#303 image serving,Cursor-GCP,BROKER,Broker tab green today; regression blanks chain/paper MTM,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-004,P0,chain_ui,Chain shows stale DHAN EXPIRY SNAPSHOT during market open,OPEN,Prior same-day browser: fetched~07:49Z while market open; status=OK false-green,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=chain,Optional: confirm side-by-side with Dhan advancedoptionchain screenshot,Badge LIVE vs STALE by age; never OK on stale snapshot in market hours,Cursor-UI,TICK_HEALTH_BLOCKER,User thinks chain is live when it is not,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-005,P0,chain_ui,Default chain view not ATM-centered (deep OTM),OPEN,Prior: strikes 27050+ vs spot ~24130; API spot now ~24334 NIFTY,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=chain,None,Default ATM±N scroll; deep OTM behind filter,Cursor-UI,SYS3-BLK-003,Looks like wrong underlying / broken chain,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-006,P0,chain_ui,Missing LTP Chg (%) column,OPEN,API has change_percent; UI headers omit,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=chain,None,Add LTP Chg % column from API change_percent,Cursor-UI,DHAN_PARITY,Cannot match Dhan decision columns,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-007,P0,chain_ui,Missing Buildup column,OPEN,UI no Buildup; Dhan has Long/Short/Short Covering,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=chain,None,Compute/display Buildup from OI+price rules matching Dhan,Cursor-UI,DHAN_PARITY,No institutional OI readout,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-008,P0,chain_ui,Missing OI chg % and Vol chg %,OPEN,UI absolute ChgOI/Vol only,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=chain,None,Add oi_chg_pct vol_chg_pct columns,Cursor-UI,DHAN_PARITY,Incomplete Dhan parity,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-009,P0,chain_ui,Greeks in API but not in chain table,OPEN,API delta/gamma/theta/vega present,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=chain,None,Add Delta Gamma Theta Vega columns,Cursor-UI,DHAN_PARITY,No Greek-based paper selection UX,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
PEND-010,P1,equity,Equity options need security_id mapping,OPEN,/api/equity/options=404; scanner equity_options=200 index-focused,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/ + Dhan equity chain,Optional: list priority equity underlyings (e.g. ANGEL ONE),Wire Dhan scrip master security_id_list → equity chain UI,Cursor-backend,EQ_FO,Cannot trade/paper equity options like Dhan,719566d23fd9aeb783a72fcec9493557f783781f,2c0b44a43837c1de5d05721b61329e9269d0a8a0,2026-08-25T10:05:00Z
