proof_id,priority,area,current_status,proof_required,acceptance_criteria,recommendation,agent_query,final_result_required
"P01","P0","Model evidence source","NOT_PROVEN; Genesis shows no bias/confidence; ML reports NO_PREDICTION_SOURCE_FOUND","Append-only prediction rows with prediction timestamp, horizon, symbol, model/version, features hash, predicted rank/direction, maturity timestamp, actual outcome, evaluation status and artifact hash.","All five UI panels report identical sample days, prediction count, rho and timestamp; no empty-source warning; deterministic API contract test passes.","Use an immutable event ledger plus a materialized canonical metrics view. Version schemas and expose lineage, freshness, build SHA and artifact hash on every response.","Audit every prediction-producing and prediction-consuming route. Identify the authoritative store, backfill valid matured rows without fabrication, implement a versioned canonical prediction-proof endpoint, add contract tests, and return before/after evidence.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P02","P0","Spearman rho inconsistency","0.61 summary vs 0.9 ledger vs 0-day history/no source","Input cohort CSV/Parquet, exact rank-correlation code, null/tie policy, per-day rho, weighted/unweighted aggregate and reproducible test output.","Independent recomputation matches API/UI to 4 decimals; all views show same cohort dates, N and aggregate; no stale cached metric.","Treat metrics as derived artifacts, never mutable fields. Publish cohort ID and calculation version beside every metric.","Trace the origin of 0.61, 0.9 and 0-day values. Recompute from raw matured predictions, document tie/null handling, remove stale fallbacks, and prove every consumer uses the same cohort ID.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P03","P0","Gate matrix consistency","Overview/Audit 2/7; Live Gate 3/6","Versioned gate definitions, IDs, thresholds, evaluator output, timestamps, evidence links, unit tests and UI contract tests.","Every panel reports identical passed/total counts and identical status per gate for the same evaluation ID.","Use fail-closed gates with unique IDs, evidence URIs and a signed evaluation manifest. UI must render, not recalculate.","Inventory all gate definitions and consumers, select a canonical registry, migrate panels to one evaluation endpoint, add cross-page snapshot tests, and return a diff of removed duplicate logic.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P04","P0","Market-data reliability","Broker connected but OHLC/quote/LTP reliability NOT_PROVEN; rate-limit health contract missing","Per-source request success/error counts, 429/805 rates, cache/fallback flag, quote age, sequence gaps, websocket reconnects, symbol coverage and SLO report.","Defined SLO met for at least 10 market sessions; stale/fallback states fail closed; UI distinguishes auth, transport and market-data health.","Separate broker authentication from data quality. Enforce per-symbol freshness budgets, circuit breakers, rate-limit budgets and observable fallback provenance.","Implement /api/marketfeed/health with source-level freshness, gaps, errors, rate limits and fallback provenance. Replay at least 10 sessions and provide SLO evidence and failure-injection results.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P05","P0","Paper lifecycle reconciliation","9 paper trades; closed-trade reconciliation incomplete; no open paper positions","Immutable paper order/fill ledger, entry/exit reason, timestamps, Dhan mark source, fees/slippage, daily reconciliation, exception report and ledger checksum.","Zero unexplained ledger differences for 10 consecutive market sessions; total P&L equals sum of reconciled fills and costs.","Use double-entry accounting principles for positions and cash, idempotent event processing and daily signed reconciliation artifacts.","Rebuild the nine-trade paper lifecycle from raw events, explain every P&L component, add idempotent reconciliation and exception reporting, then run for 10 sessions with zero unexplained variance.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P06","P0","Strategy profitability after costs","Costed OOS backtest net P&L -₹102,636.35 on 8 trades","Frozen datasets, train/validation/test splits by time, costs/slippage model, corporate-action handling, parameter search log, OOS trades, confidence intervals, drawdown, turnover and benchmark comparison.","Positive net expectancy and profit factor >1 with statistically defensible confidence across multiple regimes; acceptable drawdown; no leakage; independent reproduction.","Require purged/embargoed walk-forward validation, realistic capacity/slippage, multiple-comparison controls and champion-challenger shadow testing.","Design and execute a leakage-free, costed walk-forward evaluation with regime slices and confidence intervals. Report negative results honestly. Do not optimize on final OOS data or claim readiness from eight trades.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P07","P1","Option strike visibility proof","E2E/chain prove 4/4 complete, but Data Integrity shows no verified option contracts and audit gate was blocked","Four required-symbol snapshots, CE/PE presence, contract/strike counts, expiry coverage, source=dhan, completeness flag, freshness and artifact hashes.","Data Integrity, E2E, Trade and gate ledger all show same 4/4 status and counts for the same snapshot IDs.","Promote a chain snapshot only when completeness, provenance and freshness rules pass; store snapshot ID and checksum.","Trace the stale no-contract blocker, bind Data Integrity and gates to the verified Dhan chain snapshot contract, and add regression tests for market-closed verified snapshots.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P08","P1","Paper win-rate UI defect","Positions shows 0.3%; Performance shows 33.3% from 3W/9","Raw wins/trades payload, formatter unit test, UI snapshots and cross-page equality test.","All panels display 33.3% for 3/9 and handle 0, null and fractional inputs correctly.","Define metric units in schemas (fraction vs percent) and centralize formatting.","Locate the 100x scaling error, declare win_rate units in the API schema, centralize formatting and add edge-case/cross-page tests.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P09","P1","Exposure context mismatch","Decision Intel shows analyzer exposure ₹0; portfolio risk shows broker exposure ₹319,825.18","Source-tagged exposure payloads, reconciliation to holdings/positions, valuation timestamp and context labels.","No unlabeled exposure number; broker, paper and analyzer values reconcile independently and display timestamps.","Use typed portfolio contexts and prohibit aggregation across authorities without an explicit reconciliation view.","Audit every exposure field, add authority/context/source/timestamp metadata, reconcile broker exposure to 11 holdings plus 1 position, and update labels and tests.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P10","P0","Risk readiness","VaR95 ₹122,255.66; expected shortfall ₹247,393.97; exposure ₹319,825.18; Greeks all zero despite option position","Position-level valuation inputs, return window, VaR/ES method, stress scenarios, Greeks source/calculation, option contract mapping, backtesting exceptions and independent benchmark.","Non-zero justified Greeks for option positions; VaR backtest within policy; stress and concentration limits defined and enforced.","Use independent risk calculation, historical plus parametric cross-checks, stressed ES, liquidity add-ons and explicit model-risk reserves.","Independently reproduce VaR/ES and Greeks from broker positions. Explain zero Greeks for POWERGRID CE, validate contract mapping, add stress/liquidity scenarios, and provide backtest exceptions.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P11","P1","Model registry and lineage","No proof-ready active model registry record; heuristic fallback must not be called ML","Model binary hash, code SHA, feature schema, training-data snapshot hash, parameters, metrics, limitations, approval record and rollback reference.","Every prediction references an active registered model/version; fallback is explicitly labeled; registry and deployment hashes match.","Adopt model cards, immutable lineage and approval workflows; make unregistered models incapable of emitting promotable predictions.","Create or repair the model registry record with complete lineage and model card, bind predictions to model_version, and prove deployed artifact hashes match the registry.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P12","P1","Engineering coordination contract","Agent runtime responds, but wave/owner/next dependency absent","Current wave, owner, task ID, dependency, SLA, last heartbeat, artifact links and next action.","Every active blocker has one owner, one next action, due/SLA and evidence links; stale tasks alert automatically.","Use a machine-readable control plane with RACI ownership and evidence-backed completion, not narrative status.","Implement the backend progress contract and populate owner, wave, dependencies, SLA, heartbeat, artifacts and next action for every P0/P1 item in this CSV.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P13","P1","Freshness and websocket proof","After-hours polling; tick freshness gate blocked in audit; one page briefly showed websocket off","Sequence numbers, tick age distribution, gap/reconnect logs, market-calendar awareness, poll fallback, failure injection and 10-session SLO.","Freshness SLO passes in market hours; after-hours state is not misclassified; gaps trigger fail-closed behavior.","Use exchange-calendar-aware SLOs, monotonic sequence checks and synthetic canaries.","Instrument websocket and poll paths, replay 10 sessions, run disconnect/rate-limit failure injection, and publish session-aware freshness evidence.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P14","P2","Multibagger research pipeline","0 verified candidates; all research stages waiting","Ranking, horizons, probability calibration, fundamentals, governance, ownership flows, valuation, outcome ledger and source citations.","Candidates appear only with complete evidence, source timestamps, calibrated probabilities and tracked outcomes; otherwise remain zero.","Prefer zero candidates over weak evidence. Use point-in-time fundamentals, survivorship-bias controls and an auditable outcome ledger.","Design the staged research contract, list authoritative data sources, implement point-in-time lineage and define minimum publication gates. Return zero candidates until all gates pass.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P15","P0","Live-trading promotion governance","LIVE OFF/LOCKED; human approval false by design; insufficient/contradictory proof","Canonical green gate manifest, at least 10 reconciled paper sessions (recommend 30+ across regimes), positive costed expectancy, validated risk, model/data lineage, kill-switch drill, incident rollback drill and signed human approval.","Every canonical gate PASS with reproducible artifacts; independent reviewer signs; LIVE flag remains separate, protected and manually controlled; staged capital limits.","Use defense in depth: shadow mode, canary capital, two-person approval, hard loss limits, automatic rollback and continuous post-deployment monitoring. Current recommendation is DO NOT ENABLE LIVE.","Prepare a promotion-readiness dossier but do not change LIVE_TRADING_ENABLED or approval state. List every unmet gate, evidence artifact, independent reviewer, drill result and rollback control.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
