rank,follow_rank,score,name,source_class,path,bytes,mtime_utc,rows_or_na,sheets_or_na,github_presence,serving_sha_now,github_main_sha_now,live_broker,live_health,live_gates,score_reasons,recommendation,notes,analyzed_utc
1,FOLLOW_FIRST,90,AGENT_OPERATING_OPTIONS.xlsx,PRIMARY_CLONE,C:\Users\ADMIN\Genesis_System3\Genesis_System3\reports\coordination\AGENT_OPERATING_OPTIONS.xlsx,24852,2026-08-25T22:50:53Z,n/a,"0_Meta,1_User_Actions,2_Options_Priority,3_Pending_Live,4_UI_Tab_Impact,5_GCP_GitHub_Levers,6_Progress_Chart,7_Failure_Playbook,8_MD_Upgrades,9_GitHub_Action_Map",ON_MAIN,fb4772f9d52b67a31b55ee85aab8604e525bbad6,fb4772f9d52b67a31b55ee85aab8604e525bbad6,connected=True auth=AUTH_OK live=False,status=ok qc=NOT_READY,2/7 trade_ready=False,+40 primary clone; +32 multi-sheet operator workbook on GitHub; +8 present on GitHub main; +10 mtime <24h,BEST Excel multi-sheet operator file (on GitHub). Open this; use new sheet 10_Authority_Rank.,Existing multi-sheet operator workbook,2026-08-26T03:31:52Z
2,FOLLOW_FIRST,83,session_issues_master.csv,PRIMARY_CLONE,C:\Users\ADMIN\Genesis_System3\Genesis_System3\reports\coordination\session_issues_master.csv,6739,2026-08-26T03:08:19Z,32,n/a,ON_MAIN,fb4772f9d52b67a31b55ee85aab8604e525bbad6,fb4772f9d52b67a31b55ee85aab8604e525bbad6,connected=True auth=AUTH_OK live=False,status=ok qc=NOT_READY,2/7 trade_ready=False,+40 primary clone; +25 session issues master; +8 present on GitHub main; +10 mtime <24h,BEST issue-status twin for current serving SHA; overwrite each command-center refresh.,Session overwrite twin,2026-08-26T03:31:52Z
3,FOLLOW_FIRST,74,GITHUB_ACTION_MAP_STATUS.csv,PRIMARY_CLONE,C:\Users\ADMIN\Genesis_System3\Genesis_System3\reports\coordination\GITHUB_ACTION_MAP_STATUS.csv,2615,2026-08-25T22:50:07Z,15,n/a,NOT_ON_MAIN,fb4772f9d52b67a31b55ee85aab8604e525bbad6,fb4772f9d52b67a31b55ee85aab8604e525bbad6,connected=True auth=AUTH_OK live=False,status=ok qc=NOT_READY,2/7 trade_ready=False,+40 primary clone; +35 runbook single live action board; -8 not on GitHub main yet (laptop+Excel twin); -3 missing from GitHub main; +10 mtime <24h,BEST daily done/pending action map (Cloud/GitHub/Gmail). Excel twin = sheet 9_GitHub_Action_Map. Commit to main so cloud agents can see it.,Runbook-named live action board,2026-08-26T03:31:52Z
4,FOLLOW_SECOND,60,pending_issues_master.csv,PRIMARY_CLONE,C:\Users\ADMIN\Genesis_System3\Genesis_System3\reports\coordination\pending_issues_master.csv,13902,2026-08-25T10:04:37Z,30,n/a,UNKNOWN,fb4772f9d52b67a31b55ee85aab8604e525bbad6,fb4772f9d52b67a31b55ee85aab8604e525bbad6,connected=True auth=AUTH_OK live=False,status=ok qc=NOT_READY,2/7 trade_ready=False,+40 primary clone; +10 pending master (verify SHAs); +10 mtime <24h,Backlog catalog only; SHAs may be stale — re-verify live.,Legacy pending master,2026-08-26T03:31:52Z
5,FOLLOW_SECOND,55,ruhi_task_ledger.csv,PRIMARY_CLONE,C:\Users\ADMIN\Genesis_System3\Genesis_System3\reports\coordination\ruhi_task_ledger.csv,14028,2026-08-23T00:11:38Z,23,n/a,ON_MAIN,fb4772f9d52b67a31b55ee85aab8604e525bbad6,fb4772f9d52b67a31b55ee85aab8604e525bbad6,connected=True auth=AUTH_OK live=False,status=ok qc=NOT_READY,2/7 trade_ready=False,+40 primary clone; +12 RUHI ledger; +8 present on GitHub main; -5 older than 72h,RUHI companion; subordinate to GITHUB_ACTION_MAP_STATUS.csv.,RUHI task ledger,2026-08-26T03:31:52Z
6,CONTEXT_ONLY,45,SYSTEM3_LIVE_UNRESOLVED_ISSUES.csv,PRIMARY_CLONE,C:\Users\ADMIN\Genesis_System3\Genesis_System3\audit\live_agent_issue_ledger\SYSTEM3_LIVE_UNRESOLVED_ISSUES.csv,16577,2026-08-24T11:49:16Z,15,n/a,UNKNOWN,fb4772f9d52b67a31b55ee85aab8604e525bbad6,fb4772f9d52b67a31b55ee85aab8604e525bbad6,connected=True auth=AUTH_OK live=False,status=ok qc=NOT_READY,2/7 trade_ready=False,+40 primary clone; +5 mtime <72h,Audit trail; verify against live APIs before acting.,Audit ledger,2026-08-26T03:31:52Z
7,CONTEXT_ONLY,45,PENDING_ISSUES_MASTER_20260825.csv,PRIMARY_CLONE,C:\Users\ADMIN\Genesis_System3\Genesis_System3\reports\latest\pending_issues\PENDING_ISSUES_MASTER_20260825.csv,13902,2026-08-25T10:04:36Z,30,n/a,UNKNOWN,fb4772f9d52b67a31b55ee85aab8604e525bbad6,fb4772f9d52b67a31b55ee85aab8604e525bbad6,connected=True auth=AUTH_OK live=False,status=ok qc=NOT_READY,2/7 trade_ready=False,+40 primary clone; -5 dated snapshot; +10 mtime <24h,Historical dated dump — do not drive work from this alone.,Dated snapshot,2026-08-26T03:31:52Z
8,CONTEXT_ONLY,43,System3_Master_MRI_Control.xlsx,PRIMARY_CLONE,C:\Users\ADMIN\Genesis_System3\Genesis_System3\System3_Master_MRI_Control.xlsx,27524,2026-08-22T00:31:49Z,n/a,"Executive_Status,Dependency_Checklist,Task_Breakdown,Proof_Register,Sequence_Plan,PR_and_Ownership,Runtime_Parity,Repo_Environment_Diff,Market_Data_Truth,ML_Data_Pipeline,Paper_Recon_QC,Change_Control,Final_Proof_Summary",UNKNOWN,fb4772f9d52b67a31b55ee85aab8604e525bbad6,fb4772f9d52b67a31b55ee85aab8604e525bbad6,connected=True auth=AUTH_OK live=False,status=ok qc=NOT_READY,2/7 trade_ready=False,+40 primary clone; +8 MRI workbook not daily P0 board; -5 older than 72h,MRI deep-scan workbook — not the daily P0 action board.,MRI scan workbook,2026-08-26T03:31:52Z
9,CONTEXT_ONLY,22,ruhi_task_ledger.csv,WORKTREE_COPY,C:\Users\ADMIN\Genesis_System3\Genesis_System3\.worktrees\master-production-closure\reports\coordination\ruhi_task_ledger.csv,14028,2026-08-24T08:21:02Z,23,n/a,UNKNOWN,fb4772f9d52b67a31b55ee85aab8604e525bbad6,fb4772f9d52b67a31b55ee85aab8604e525bbad6,connected=True auth=AUTH_OK live=False,status=ok qc=NOT_READY,2/7 trade_ready=False,+5 worktree secondary; +12 RUHI ledger; +5 mtime <72h,RUHI companion; subordinate to GITHUB_ACTION_MAP_STATUS.csv.,Worktree copy may lag,2026-08-26T03:31:52Z
10,CONTEXT_ONLY,18,System3_Master_MRI_Control.xlsx,WORKTREE_COPY,C:\Users\ADMIN\Genesis_System3\Genesis_System3\.worktrees\master-production-closure\System3_Master_MRI_Control.xlsx,27524,2026-08-24T08:21:00Z,n/a,"Executive_Status,Dependency_Checklist,Task_Breakdown,Proof_Register,Sequence_Plan,PR_and_Ownership,Runtime_Parity,Repo_Environment_Diff,Market_Data_Truth,ML_Data_Pipeline,Paper_Recon_QC,Change_Control,Final_Proof_Summary",UNKNOWN,fb4772f9d52b67a31b55ee85aab8604e525bbad6,fb4772f9d52b67a31b55ee85aab8604e525bbad6,connected=True auth=AUTH_OK live=False,status=ok qc=NOT_READY,2/7 trade_ready=False,+5 worktree secondary; +8 MRI workbook not daily P0 board; +5 mtime <72h,MRI deep-scan workbook — not the daily P0 action board.,Linked worktree MRI copy,2026-08-26T03:31:52Z
