tab,capture_utc,capture_ist,url,text_len,markers,console_errors,api_call_count,screenshot_local,classification,notes
decision-intel,2026-08-16T06:32:09.236333+00:00,2026-08-16T12:02:09.236333+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=decision-intel,1748,poll|market closed|connected|dhan|paper|live off,0,11,LOCAL_SCRATCH lane_a_ui/00_decision-intel.png,EXPECTED_AFTER_HOURS,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty — After hours India V"
truth,2026-08-16T06:32:13.378297+00:00,2026-08-16T12:02:13.378297+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=truth,2351,waiting|poll|market closed|connected|source=|dhan|paper|live off,0,11,LOCAL_SCRATCH lane_a_ui/01_truth.png,WAITING_VISIBLE,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
genesis,2026-08-16T06:32:17.100959+00:00,2026-08-16T12:02:17.100959+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=genesis,3277,waiting|poll|market closed|connected|dhan|paper|live off,0,20,LOCAL_SCRATCH lane_a_ui/02_genesis.png,WAITING_VISIBLE,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
e2e-proof,2026-08-16T06:32:20.948999+00:00,2026-08-16T12:02:20.948999+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=e2e-proof,2633,waiting|poll|market closed|connected|source=|dhan|paper|live off,0,11,LOCAL_SCRATCH lane_a_ui/03_e2e-proof.png,WAITING_VISIBLE,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
overview,2026-08-16T06:32:24.839839+00:00,2026-08-16T12:02:24.839839+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=overview,2403,waiting|poll|market closed|connected|dhan|paper|live off,0,11,LOCAL_SCRATCH lane_a_ui/04_overview.png,WAITING_VISIBLE,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
sim-live,2026-08-16T06:32:28.780242+00:00,2026-08-16T12:02:28.780242+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=sim-live,1643,poll|market closed|connected|dhan|paper|live off,0,12,LOCAL_SCRATCH lane_a_ui/05_sim-live.png,EXPECTED_AFTER_HOURS,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
options-intel,2026-08-16T06:32:32.514149+00:00,2026-08-16T12:02:32.514149+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=options-intel,1368,poll|market closed|connected|dhan|paper|live off,0,11,LOCAL_SCRATCH lane_a_ui/06_options-intel.png,EXPECTED_AFTER_HOURS,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
chain,2026-08-16T06:32:36.288733+00:00,2026-08-16T12:02:36.288733+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=chain,16953,poll|market closed|connected|source=|dhan|paper|live off,0,13,LOCAL_SCRATCH lane_a_ui/07_chain.png,PROVENANCE_VISIBLE_WEEKEND_SNAPSHOT,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
signals,2026-08-16T06:32:40.144443+00:00,2026-08-16T12:02:40.144443+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=signals,3935,poll|market closed|connected|dhan|paper|live off,0,16,LOCAL_SCRATCH lane_a_ui/08_signals.png,EXPECTED_AFTER_HOURS,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
trade,2026-08-16T06:32:44.012304+00:00,2026-08-16T12:02:44.012304+05:30,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui?tab=trade,19889,poll|market closed|connected|source=|dhan|paper|live off,0,17,LOCAL_SCRATCH lane_a_ui/09_trade.png,EXPECTED_AFTER_HOURS,"Skip to content S SYSTEM3 Genesis Market closed Read-only / poll Delayed Market closed · poll / snapshot Nifty 50 24,366.00 — Bank Nifty 57,491.10 — Fin Nifty 26,213.65 — India VIX"
