id,priority,area,current_status,pending_action,proof_required,acceptance_criteria,world_class_recommendation,agent_query,owner_agent,can_complete_from_public_ui,final_result_required
"P01","P0","Model evidence source","NOT_PROVEN; Genesis shows no bias/confidence; ML reports NO_PREDICTION_SOURCE_FOUND","Create one canonical matured-prediction ledger and wire Genesis, ML, Performance, Audit and gates to it.","Append-only prediction rows with prediction timestamp, horizon, symbol, model/version, features hash, predicted rank/direction, maturity timestamp, actual outcome, evaluation status and artifact hash.","All five UI panels report identical sample days, prediction count, rho and timestamp; no empty-source warning; deterministic API contract test passes.","Use an immutable event ledger plus a materialized canonical metrics view. Version schemas and expose lineage, freshness, build SHA and artifact hash on every response.","Audit every prediction-producing and prediction-consuming route. Identify the authoritative store, backfill valid matured rows without fabrication, implement a versioned canonical prediction-proof endpoint, add contract tests, and return before/after evidence.","ML/Data Platform Agent","NO - backend/repo access required","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P02","P0","Spearman rho inconsistency","0.61 summary vs 0.9 ledger vs 0-day history/no source","Recompute rho from the same matured cohort and eliminate alternate calculations.","Input cohort CSV/Parquet, exact rank-correlation code, null/tie policy, per-day rho, weighted/unweighted aggregate and reproducible test output.","Independent recomputation matches API/UI to 4 decimals; all views show same cohort dates, N and aggregate; no stale cached metric.","Treat metrics as derived artifacts, never mutable fields. Publish cohort ID and calculation version beside every metric.","Trace the origin of 0.61, 0.9 and 0-day values. Recompute from raw matured predictions, document tie/null handling, remove stale fallbacks, and prove every consumer uses the same cohort ID.","Independent Model Validation Agent","NO","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P03","P0","Gate matrix consistency","Overview/Audit 2/7; Live Gate 3/6","Create one canonical gate registry and evaluator consumed by all panels.","Versioned gate definitions, IDs, thresholds, evaluator output, timestamps, evidence links, unit tests and UI contract tests.","Every panel reports identical passed/total counts and identical status per gate for the same evaluation ID.","Use fail-closed gates with unique IDs, evidence URIs and a signed evaluation manifest. UI must render, not recalculate.","Inventory all gate definitions and consumers, select a canonical registry, migrate panels to one evaluation endpoint, add cross-page snapshot tests, and return a diff of removed duplicate logic.","Safety/Governance Agent","NO","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P04","P0","Market-data reliability","Broker connected but OHLC/quote/LTP reliability NOT_PROVEN; rate-limit health contract missing","Implement authoritative market-feed health and provenance contract.","Per-source request success/error counts, 429/805 rates, cache/fallback flag, quote age, sequence gaps, websocket reconnects, symbol coverage and SLO report.","Defined SLO met for at least 10 market sessions; stale/fallback states fail closed; UI distinguishes auth, transport and market-data health.","Separate broker authentication from data quality. Enforce per-symbol freshness budgets, circuit breakers, rate-limit budgets and observable fallback provenance.","Implement /api/marketfeed/health with source-level freshness, gaps, errors, rate limits and fallback provenance. Replay at least 10 sessions and provide SLO evidence and failure-injection results.","Market Data Reliability Agent","NO","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P05","P0","Paper lifecycle reconciliation","9 paper trades; closed-trade reconciliation incomplete; no open paper positions","Reconcile entry, MTM, exit, costs, slippage and realized P&L end to end.","Immutable paper order/fill ledger, entry/exit reason, timestamps, Dhan mark source, fees/slippage, daily reconciliation, exception report and ledger checksum.","Zero unexplained ledger differences for 10 consecutive market sessions; total P&L equals sum of reconciled fills and costs.","Use double-entry accounting principles for positions and cash, idempotent event processing and daily signed reconciliation artifacts.","Rebuild the nine-trade paper lifecycle from raw events, explain every P&L component, add idempotent reconciliation and exception reporting, then run for 10 sessions with zero unexplained variance.","Paper Execution/Reconciliation Agent","PARTIAL - refresh done; backend proof required","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P06","P0","Strategy profitability after costs","Costed OOS backtest net P&L -₹102,636.35 on 8 trades","Do not promote; run a larger leakage-free walk-forward tournament across regimes.","Frozen datasets, train/validation/test splits by time, costs/slippage model, corporate-action handling, parameter search log, OOS trades, confidence intervals, drawdown, turnover and benchmark comparison.","Positive net expectancy and profit factor >1 with statistically defensible confidence across multiple regimes; acceptable drawdown; no leakage; independent reproduction.","Require purged/embargoed walk-forward validation, realistic capacity/slippage, multiple-comparison controls and champion-challenger shadow testing.","Design and execute a leakage-free, costed walk-forward evaluation with regime slices and confidence intervals. Report negative results honestly. Do not optimize on final OOS data or claim readiness from eight trades.","Quant Research Agent","NO","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P07","P1","Option strike visibility proof","E2E/chain prove 4/4 complete, but Data Integrity shows no verified option contracts and audit gate was blocked","Reconcile stale blocker and wire visibility proof to canonical chain evidence.","Four required-symbol snapshots, CE/PE presence, contract/strike counts, expiry coverage, source=dhan, completeness flag, freshness and artifact hashes.","Data Integrity, E2E, Trade and gate ledger all show same 4/4 status and counts for the same snapshot IDs.","Promote a chain snapshot only when completeness, provenance and freshness rules pass; store snapshot ID and checksum.","Trace the stale no-contract blocker, bind Data Integrity and gates to the verified Dhan chain snapshot contract, and add regression tests for market-closed verified snapshots.","Options Data Agent","PARTIAL - 4/4 proof collected; code fix required","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P08","P1","Paper win-rate UI defect","Positions shows 0.3%; Performance shows 33.3% from 3W/9","Fix percentage scaling and add cross-view metric tests.","Raw wins/trades payload, formatter unit test, UI snapshots and cross-page equality test.","All panels display 33.3% for 3/9 and handle 0, null and fractional inputs correctly.","Define metric units in schemas (fraction vs percent) and centralize formatting.","Locate the 100x scaling error, declare win_rate units in the API schema, centralize formatting and add edge-case/cross-page tests.","Frontend Contract Agent","NO","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P09","P1","Exposure context mismatch","Decision Intel shows analyzer exposure ₹0; portfolio risk shows broker exposure ₹319,825.18","Label and separate paper, analyzer and broker-account exposures.","Source-tagged exposure payloads, reconciliation to holdings/positions, valuation timestamp and context labels.","No unlabeled exposure number; broker, paper and analyzer values reconcile independently and display timestamps.","Use typed portfolio contexts and prohibit aggregation across authorities without an explicit reconciliation view.","Audit every exposure field, add authority/context/source/timestamp metadata, reconcile broker exposure to 11 holdings plus 1 position, and update labels and tests.","Portfolio Risk Agent","NO","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P10","P0","Risk readiness","VaR95 ₹122,255.66; expected shortfall ₹247,393.97; exposure ₹319,825.18; Greeks all zero despite option position","Validate risk methodology and repair derivative Greeks coverage before any promotion.","Position-level valuation inputs, return window, VaR/ES method, stress scenarios, Greeks source/calculation, option contract mapping, backtesting exceptions and independent benchmark.","Non-zero justified Greeks for option positions; VaR backtest within policy; stress and concentration limits defined and enforced.","Use independent risk calculation, historical plus parametric cross-checks, stressed ES, liquidity add-ons and explicit model-risk reserves.","Independently reproduce VaR/ES and Greeks from broker positions. Explain zero Greeks for POWERGRID CE, validate contract mapping, add stress/liquidity scenarios, and provide backtest exceptions.","Independent Risk Agent","NO","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
