rank,symbol,expiry,type,strike,ltp,change,gain_pct,volume,open_interest,source
"1","SENSEX","27-Aug-26","PE","66,900","2.25","2.20","4,400.00%","480","100","DHAN_OPTION_CHAIN_LIVE"
"2","SENSEX","27-Aug-26","PE","67,100","2.60","2.50","2,500.00%","500","180","DHAN_OPTION_CHAIN_LIVE"
"3","SENSEX","27-Aug-26","PE","67,000","1.75","1.65","1,650.00%","1,920","240","DHAN_OPTION_CHAIN_LIVE"
"4","SENSEX","27-Aug-26","PE","67,500","2.55","2.40","1,600.00%","18,700","1,520","DHAN_OPTION_CHAIN_LIVE"
"5","SENSEX","27-Aug-26","PE","67,600","2.95","2.75","1,375.00%","280","60","DHAN_OPTION_CHAIN_LIVE"
"6","SENSEX","27-Aug-26","PE","67,800","2.00","1.75","700.00%","580","100","DHAN_OPTION_CHAIN_LIVE"
"7","SENSEX","27-Aug-26","PE","68,200","2.65","2.20","488.89%","1,680","260","DHAN_OPTION_CHAIN_LIVE"
"8","SENSEX","27-Aug-26","PE","68,100","2.35","1.95","487.50%","1,360","520","DHAN_OPTION_CHAIN_LIVE"
"9","SENSEX","27-Aug-26","PE","67,700","1.40","1.15","460.00%","2,820","380","DHAN_OPTION_CHAIN_LIVE"
"10","FINNIFTY","25-Aug-26","CE","27,850","1.35","1.10","440.00%","60","60","DHAN_OPTION_CHAIN_LIVE"
"11","SENSEX","27-Aug-26","PE","67,900","1.45","1.15","383.33%","3,360","740","DHAN_OPTION_CHAIN_LIVE"
"12","SENSEX","27-Aug-26","PE","68,000","1.60","1.25","357.14%","1,37,040","30,360","DHAN_OPTION_CHAIN_LIVE"
"13","FINNIFTY","25-Aug-26","CE","29,200","1.70","0.90","112.50%","120","240","DHAN_OPTION_CHAIN_LIVE"
"14","MIDCPNIFTY","25-Aug-26","PE","13,900","1.95","0.85","77.27%","27,480","11,880","DHAN_OPTION_CHAIN_LIVE"
"15","MIDCPNIFTY","25-Aug-26","PE","13,300","1.15","0.45","64.29%","120","3,720","DHAN_OPTION_CHAIN_LIVE"
"16","FINNIFTY","25-Aug-26","PE","23,900","2.25","0.85","60.71%","540","1,320","DHAN_OPTION_CHAIN_LIVE"
"17","BANKNIFTY","25-Aug-26","PE","51,700","2.70","0.75","38.46%","240","1,920","DHAN_OPTION_CHAIN_LIVE"
"18","SENSEX","27-Aug-26","CE","75,900","1,868.40","518.40","38.40%","840","760","DHAN_OPTION_CHAIN_LIVE"
"19","MIDCPNIFTY","25-Aug-26","PE","13,575","2.30","0.60","35.29%","0","1,560","DHAN_OPTION_CHAIN_LIVE"
"20","MIDCPNIFTY","25-Aug-26","CE","15,625","2.25","0.55","32.35%","0","120","DHAN_OPTION_CHAIN_LIVE"
"21","BANKNIFTY","25-Aug-26","CE","62,800","1.10","0.25","29.41%","3,810","5,430","DHAN_OPTION_CHAIN_LIVE"
"22","MIDCPNIFTY","25-Aug-26","PE","15,275","427.65","84.70","24.70%","480","840","DHAN_OPTION_CHAIN_LIVE"
"23","MIDCPNIFTY","25-Aug-26","PE","15,250","397.95","77.65","24.24%","240","2,400","DHAN_OPTION_CHAIN_LIVE"
"24","BANKNIFTY","25-Aug-26","PE","50,100","1.55","0.30","24.00%","300","1,320","DHAN_OPTION_CHAIN_LIVE"
"25","MIDCPNIFTY","25-Aug-26","CE","13,700","1,175.00","225.00","23.68%","120","120","DHAN_OPTION_CHAIN_LIVE"
