source_id,category,provider,free_or_paid,present_in_repo,repo_paths,present_in_gcp,access_method,requires_secret,live_or_delayed,expected_cadence,observed_latency_ms,observed_freshness_s,coverage,historical_depth,rate_limit,failure_mode,fallback_provider,trust_tier,legal_notes,prediction_use,smoke_result,proof_artifact,owner,status,next_action
dhan_rest_marketfeed_ltp,dhan_rest,Dhan,paid_broker,YES,core/brokers/dhan/market_ltp.py,NOT_PROBED_THIS_SESSION,HTTPS REST https://api.dhan.co/v2/marketfeed/ltp,YES_DHAN_TOKEN,live_when_market_open,on_demand_ui_poll,NOT_PROBED,NOT_PROBED,index_ids_NIFTY_BANKNIFTY_FINNIFTY_MIDCPNIFTY_SENSEX_INDIAVIX,none,process_cache_ttl_8s_cooldown_20s_on_429_805,RATE_LIMIT_COOLDOWN_or_empty,chain_fallback_or_empty,T1_broker_rest,DhanHQ ToS; no extra scrape,index_ribbon_and_position_ltp,NOT_PROBED_weekend_do_not_hammer,reports/coordination/catalyst_phase0_ruhi022_health_proof_20260822T115910Z.json + repo market_ltp.py,Cursor,EXISTS_WORKING,Phase-1 smoke during market hours only; do not hammer weekend
dhan_rest_marketfeed_ohlc,dhan_rest,Dhan,paid_broker,YES,core/brokers/dhan/market_ltp.py,NOT_PROBED_THIS_SESSION,HTTPS REST https://api.dhan.co/v2/marketfeed/ohlc,YES_DHAN_TOKEN,live_when_market_open,on_demand,NOT_PROBED,NOT_PROBED,same_index_security_ids,none,same_process_governor_as_ltp,RATE_LIMIT_COOLDOWN,none,T1_broker_rest,DhanHQ ToS,ohlc_enrichment,NOT_PROBED_weekend_do_not_hammer,core/brokers/dhan/market_ltp.py:_DHAN_OHLC_URL,Cursor,EXISTS_WORKING,Phase-1 timed smoke on serving SHA
dhan_rest_marketfeed_quote,dhan_rest,Dhan,paid_broker,YES,core/brokers/dhan/market_ltp.py,NOT_PROBED_THIS_SESSION,HTTPS REST https://api.dhan.co/v2/marketfeed/quote,YES_DHAN_TOKEN,live_when_market_open,on_demand,NOT_PROBED,NOT_PROBED,same_index_security_ids,none,same_process_governor_as_ltp,RATE_LIMIT_COOLDOWN,none,T1_broker_rest,DhanHQ ToS,quote_enrichment,NOT_PROBED_weekend_do_not_hammer,core/brokers/dhan/market_ltp.py:_DHAN_QUOTE_URL,Cursor,EXISTS_WORKING,Phase-1 timed smoke on serving SHA
dhan_sdk_option_chain,option_chains,Dhan,paid_broker,YES,core/data/datasource_manager.py|core/data/nse_provider.py|dashboard/backend/chain_adapter.py|dashboard/backend/app.py:/api/chain/{underlying}|dashboard/backend/routers/chain.py,NOT_PROBED_THIS_SESSION,DhanHQ get_option_chain + paced REST,YES_DHAN_TOKEN,live_when_market_open,paced_min_gap_3.4s,NOT_PROBED,NOT_PROBED,index_and_OPTSTK_universe_from_master,none,DHAN_OC_MIN_GAP_S=3.4; terminal 429/805/808/906,NO_DHAN_DATA_or_DH-906,file_cache_if_present,T1_broker_rest,DhanHQ ToS; nse_provider.py header says NSE scrape removed,chain_ui_and_signals,NOT_PROBED_weekend_do_not_hammer,repo datasource_manager.py + OptionsIntelligence pending copy,Cursor,EXISTS_WORKING,Phase-1 chain smoke on NIFTY/BANKNIFTY during market hours; weekend=CLOSED snapshot only
dhan_official_market_ws,dhan_ws,Dhan,paid_broker,YES_DISABLED_SHIM,src/dhan/live_chain_ws.py|scripts/run_live_chain.py,NO,DhanHQ websocket disabled; instantiate raises RuntimeError,YES_IF_ENABLED,n/a,n/a,NOT_PROBED,NOT_PROBED,none,none,n/a,RuntimeError DISABLED_REASON,REST_marketfeed_and_option_chain,T0_disabled,Do not re-enable without Phase-1 proof and rate-limit plan,none_until_enabled,REPO_DISABLED,src/dhan/live_chain_ws.py DISABLED_REASON,Cursor,EXISTS_BROKEN,Keep disabled; Phase-1 must not treat /ws/stream as Dhan market WS
app_internal_ws_stream,backend_apis_store_ui,System3,internal,YES,dashboard/frontend/src/hooks/useWebSocket.ts|dashboard/frontend/src/hooks/useWebSocketProd.ts|scripts/websocket_tick_health_proof.py,NOT_PROBED_THIS_SESSION,App /ws/stream + poll fallback,NO_APP_WS,app_state_not_broker_ticks,market_hours_only_client,NOT_PROBED,NOT_PROBED,app_state_files_not_dhan_ticks,none,reconnect_plus_3s_poll,polling_fallback,HTTP_poll,T2_app_transport,Internal dashboard transport only,ui_refresh_only,NOT_PROBED_this_session,useWebSocket.ts header + websocket_tick_health_proof.py,Cursor,EXISTS_WORKING,Do not classify as Dhan WS; prove separately if UI freshness claimed
legacy_live_chain_rest_shim,option_chains,legacy_dhan_path,n/a,YES_DISABLED,src/dhan/live_chain_rest.py,NO,raises RuntimeError when broker path used,n/a,n/a,n/a,NOT_PROBED,NOT_PROBED,none,none,n/a,RuntimeError disabled shim,datasource_manager,T0_disabled,Retired secondary REST; do not revive,none,REPO_DISABLED,src/dhan/live_chain_rest.py header,Cursor,EXISTS_UNUSED,Leave as shim; primary path is datasource_manager
security_master_fo_universe,security_master_fo,Dhan_plus_repo_csv,paid_broker_plus_checked_in_master,YES,security_id_list.csv|core/brokers/dhan/equity_fo_universe.py|core/brokers/dhan/nse_option_symbol.py,NOT_PROBED_THIS_SESSION,local CSV OPTSTK parse + priority lists,NO_FOR_CSV,delayed_until_master_refresh,on_scan,NOT_PROBED,NOT_PROBED,PRIORITY_EQUITY_FO + HIGH_MOMENTUM_EQUITY_FO + full OPTSTK master,csv_snapshot_not_live,n/a,missing_csv_or_stale_master,hardcoded_PRIORITY_EQUITY_FO,T2_static_master,NSE contract-spec URLs cited as reference only; no live NSE scrape,scanner_universe,REPO_PRESENT,equity_fo_universe.py SECURITY_MASTER path,Cursor,EXISTS_WORKING,Phase-1 count OPTSTK vs UI/API; do not scrape NSE
dhan_historical_charts,historical_data,Dhan,paid_broker,YES,core/data/history_fetcher.py,NOT_PROBED_THIS_SESSION,Dhan /v2/charts/historical,YES_DHAN_TOKEN,delayed_historical,on_demand,NOT_PROBED,NOT_PROBED,NIFTY_BANKNIFTY_FINNIFTY_MIDCPNIFTY_SENSEX,claimed_up_to_5y_in_module_doc,provider_plan_limit,Dhan_fail_then_yfinance_spot,yfinance,T1_broker_hist,Dhan Data APIs plan; yfinance is leftover fallback,training_and_backtest,NOT_PROBED,history_fetcher.py module doc,Cursor,EXISTS_WORKING,Phase-1 historical smoke on one index; do not treat 5y claim as proven until measured
yfinance_spot_fallback,provider_fallback_cache,Yahoo,free_unofficial,YES,core/data/history_fetcher.py|core/data/datasource_manager.py:_try_yfinance,NO_NOT_AUTHORITATIVE,yfinance library,NO,delayed,on_dhan_fail,NOT_PROBED,NOT_PROBED,spot_history_only,vendor_dependent,vendor,import_or_network_fail,none,T3_unofficial_fallback,Yahoo ToS / unofficial; not production SSOT,emergency_hist_only,NOT_PROBED_and_not_authority,history_fetcher.py yfinance fallback,Cursor,EXISTS_UNUSED,Do not promote; keep as fail-closed last resort only
