File_Path,Domain_Category,Component_Type,Is_Active,Associated_API_Route_Or_Job,SHA_Provenance,Notes_And_Diagnostics
core/data/data_router.py,API Gateway & Router,FastAPI Unified Router,Active,"/api/*, /ui",4756f5a0e,Size: 922 bytes | Head SHA: 4756f5a0e
dashboard/app.py,API Gateway & Router,FastAPI Unified Router,Active,"/api/*, /ui",4756f5a0e,Size: 17027 bytes | Head SHA: 4756f5a0e
dashboard/backend/app.py,API Gateway & Router,FastAPI Unified Router,Active,"/api/*, /ui",4756f5a0e,Size: 423792 bytes | Head SHA: 4756f5a0e
dashboard/backend/routers/__init__.py,API Gateway & Router,FastAPI Unified Router,Active,"/api/*, /ui",4756f5a0e,Size: 18 bytes | Head SHA: 4756f5a0e
dashboard/backend/routers/shared.py,API Gateway & Router,FastAPI Unified Router,Active,"/api/*, /ui",4756f5a0e,Size: 2330 bytes | Head SHA: 4756f5a0e
dashboard/backend/routers/trading.py,API Gateway & Router,FastAPI Unified Router,Active,"/api/*, /ui",4756f5a0e,Size: 10285 bytes | Head SHA: 4756f5a0e
dashboard/backend/secure_app.py,API Gateway & Router,FastAPI Unified Router,Active,"/api/*, /ui",4756f5a0e,Size: 7499 bytes | Head SHA: 4756f5a0e
reports/latest/parallel_root_cause_audit/backend_routes.json,API Gateway & Router,FastAPI Unified Router,Active,"/api/*, /ui",4756f5a0e,Size: 959 bytes | Head SHA: 4756f5a0e
reports/latest/parallel_root_cause_audit/backend_routes.md,API Gateway & Router,FastAPI Unified Router,Active,"/api/*, /ui",4756f5a0e,Size: 694 bytes | Head SHA: 4756f5a0e
reports/latest/ui_route_verification/all_console_errors.json,API Gateway & Router,FastAPI Unified Router,Active,"/api/*, /ui",4756f5a0e,Size: 9355 bytes | Head SHA: 4756f5a0e
reports/latest/ui_route_verification/tab_results.json,API Gateway & Router,FastAPI Unified Router,Active,"/api/*, /ui",4756f5a0e,Size: 15258 bytes | Head SHA: 4756f5a0e
scripts/monitor_desktop_app.py,API Gateway & Router,FastAPI Unified Router,Active,"/api/*, /ui",4756f5a0e,Size: 3344 bytes | Head SHA: 4756f5a0e
scripts/track_desktop_app.py,API Gateway & Router,FastAPI Unified Router,Active,"/api/*, /ui",4756f5a0e,Size: 3391 bytes | Head SHA: 4756f5a0e
tests/test_dashboard_app.py,API Gateway & Router,FastAPI Unified Router,Active,"/api/*, /ui",4756f5a0e,Size: 15740 bytes | Head SHA: 4756f5a0e
tools/verify_all_routes_auditable.py,API Gateway & Router,FastAPI Unified Router,Active,"/api/*, /ui",4756f5a0e,Size: 2682 bytes | Head SHA: 4756f5a0e
