use_case_id,audience,journey_stage,category,use_case,kid_level_goal,when_to_use,simple_steps,ui_tab_or_surface,inputs_needed,expected_output,proof_or_acceptance,status_words,safety_boundary,command_or_url,authority_source,user_action
UC-001,Everyone,Start,Orientation,Understand System3,"See it as a careful market-science robot, not a money machine.",Your first five minutes.,Read the safety card > learn the four layers > open the guide.,Guide,None,A correct mental model,Can explain DATA > THINK > PAPER > PROVE,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,,docs/SYSTEM3_CORE_TRADING_GOAL_AND_ARCHITECTURE.md,None for routine safe work
UC-002,Everyone,Start,Safety,Confirm the four safety locks,Make sure the robot can watch and practice but cannot trade real money.,Before every run or proof.,Check all four values are exactly as listed.,Environment / Gates,Environment values,All locks OFF except ANALYZE_MODE=1,Exact values match,SAFE | UNSAFE,Stop immediately if a live/order flag is enabled.,ANALYZE_MODE=1; LIVE_TRADING_ENABLED=0; SYSTEM3_LIVE_TRADING_ALLOWED=0; AUTO_EXECUTE_TRADES=0,AGENTS.md,None for routine safe work
UC-003,Viewer,Start,Access,Open the production dashboard,Open the real cloud screen.,To view current production.,Start a fresh browser session > open URL > note the capture time.,Production UI,Internet + browser,Dashboard shell,Fresh page opened after request start; serving SHA checked for current claims,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/,docs/authority/TEMPORAL_TRUTH_AND_LIVE_EVIDENCE_POLICY.md,None for routine safe work
UC-004,Viewer,Start,Truth,Tell live truth from old proof,A photo from yesterday is not what is happening now.,Whenever words like now/current/live appear.,Record UTC start > create new browser session > capture UI + API > compare.,All surfaces,Fresh timestamps,Time-bounded evidence,Evidence age and capture time reported,FRESH | STALE | HISTORICAL | UNVERIFIED,Read-only or PAPER/ANALYZE only; never place a real order.,,docs/authority/TEMPORAL_TRUTH_AND_LIVE_EVIDENCE_POLICY.md,None for routine safe work
UC-005,New local user,Setup,Repository,Open the correct repo,Stand in the right workshop.,Before commands or edits.,Open PowerShell > change to this repo > run git status.,Repository,Local clone,Correct root and visible changes,No unrelated changes overwritten,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,Set-Location C:\Users\ADMIN\Genesis_System3\Genesis_System3; git status --short,AGENTS.md,None for routine safe work
UC-006,New local user,Setup,Dependencies,Check tools,Make sure the toolbox exists.,First local setup or after machine changes.,Check Python > Node > npm > virtual environment.,Terminal,Installed tools,Versions print without error,Python and Node checks succeed,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,python --version; node --version; npm --version,dashboard/README.md,None for routine safe work
UC-007,New local user,Run,Backend,Start local API brain,Wake up the part that answers questions.,Local development.,Set safety flags > start uvicorn > keep window open.,Local API,Python environment,API listens on 127.0.0.1:8000,GET /api/health returns 200,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,.\.venv\Scripts\python.exe -m uvicorn dashboard.backend.app:app --host 127.0.0.1 --port 8000,README.md,None for routine safe work
UC-008,New local user,Run,Dashboard,Start/open local UI,Open the control-room screen.,After backend starts.,Use the repo dashboard launcher or frontend dev server > open the printed URL.,Local UI,Backend + frontend dependencies,Dashboard appears,No red browser errors; LIVE OFF visible,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,.\scripts\run_dashboard.ps1,dashboard/README.md,None for routine safe work
UC-009,Viewer,Use,Navigation,Use a tab link,Jump straight to one room.,Sharing a specific view.,Add ?tab=<tab-id> to the production UI URL.,Any canonical tab,Tab ID,Requested tab opens,URL and selected tab agree,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=decision-intel,dashboard/frontend/src/App.tsx,None for routine safe work
UC-010,Viewer / Paper operator,Use,Dashboard tab,Use Decision Intel,"Ask: what is the system thinking, and why?",When the Decision Intel question matters.,Open Decision Intel > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,decision-intel,Fresh dashboard session,Current decision evidence and reasons,UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=decision-intel,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-011,Viewer / Paper operator,Use,Dashboard tab,Use Truth,Check whether labels match real sources and freshness.,When the Truth question matters.,Open Truth > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,truth,Fresh dashboard session,Truth/freshness summary,UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=truth,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-012,Viewer / Paper operator,Use,Dashboard tab,Use Genesis Brain,See model evidence without pretending missing data exists.,When the Genesis Brain question matters.,Open Genesis Brain > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,genesis,Fresh dashboard session,"Model status, confidence, reasons or WAITING",UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=genesis,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-013,Viewer / Paper operator,Use,Dashboard tab,Use E2E Proof,Follow proof from code to cloud to browser.,When the E2E Proof question matters.,Open E2E Proof > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,e2e-proof,Fresh dashboard session,Proof-chain status,UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=e2e-proof,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-014,Viewer / Paper operator,Use,Dashboard tab,Use Overview,Get the big picture first.,When the Overview question matters.,Open Overview > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,overview,Fresh dashboard session,"Mode, market, health and summary",UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=overview,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-015,Viewer / Paper operator,Use,Dashboard tab,Use Live Simulation,"Watch a safe simulation, not real execution.",When the Live Simulation question matters.,Open Live Simulation > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,sim-live,Fresh dashboard session,Simulation state and events,UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=sim-live,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
UC-016,Viewer / Paper operator,Use,Dashboard tab,Use Options Intel,Compare option opportunities and evidence.,When the Options Intel question matters.,Open Options Intel > read source/as-of/status > inspect warnings > do not turn blanks into guesses.,options-intel,Fresh dashboard session,Options intelligence summary,UI meaning matches same-session API; empty/stale is explicit,PASS | PARTIAL | FAIL | BLOCKED,Read-only or PAPER/ANALYZE only; never place a real order.,https://genesis-system3-web-doq2wplepa-el.a.run.app/ui/?tab=options-intel,dashboard/frontend/src/components/Sidebar.tsx,None for routine safe work
