query_id,priority,owner_agent,agent_query,required_proof,recommendation,acceptance_criteria,final_result_required
"P01","P0","ML/Data Platform Agent","Audit every prediction-producing and prediction-consuming route. Identify the authoritative store, backfill valid matured rows without fabrication, implement a versioned canonical prediction-proof endpoint, add contract tests, and return before/after evidence.","Append-only prediction rows with prediction timestamp, horizon, symbol, model/version, features hash, predicted rank/direction, maturity timestamp, actual outcome, evaluation status and artifact hash.","Use an immutable event ledger plus a materialized canonical metrics view. Version schemas and expose lineage, freshness, build SHA and artifact hash on every response.","All five UI panels report identical sample days, prediction count, rho and timestamp; no empty-source warning; deterministic API contract test passes.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P02","P0","Independent Model Validation Agent","Trace the origin of 0.61, 0.9 and 0-day values. Recompute from raw matured predictions, document tie/null handling, remove stale fallbacks, and prove every consumer uses the same cohort ID.","Input cohort CSV/Parquet, exact rank-correlation code, null/tie policy, per-day rho, weighted/unweighted aggregate and reproducible test output.","Treat metrics as derived artifacts, never mutable fields. Publish cohort ID and calculation version beside every metric.","Independent recomputation matches API/UI to 4 decimals; all views show same cohort dates, N and aggregate; no stale cached metric.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P03","P0","Safety/Governance Agent","Inventory all gate definitions and consumers, select a canonical registry, migrate panels to one evaluation endpoint, add cross-page snapshot tests, and return a diff of removed duplicate logic.","Versioned gate definitions, IDs, thresholds, evaluator output, timestamps, evidence links, unit tests and UI contract tests.","Use fail-closed gates with unique IDs, evidence URIs and a signed evaluation manifest. UI must render, not recalculate.","Every panel reports identical passed/total counts and identical status per gate for the same evaluation ID.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P04","P0","Market Data Reliability Agent","Implement /api/marketfeed/health with source-level freshness, gaps, errors, rate limits and fallback provenance. Replay at least 10 sessions and provide SLO evidence and failure-injection results.","Per-source request success/error counts, 429/805 rates, cache/fallback flag, quote age, sequence gaps, websocket reconnects, symbol coverage and SLO report.","Separate broker authentication from data quality. Enforce per-symbol freshness budgets, circuit breakers, rate-limit budgets and observable fallback provenance.","Defined SLO met for at least 10 market sessions; stale/fallback states fail closed; UI distinguishes auth, transport and market-data health.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P05","P0","Paper Execution/Reconciliation Agent","Rebuild the nine-trade paper lifecycle from raw events, explain every P&L component, add idempotent reconciliation and exception reporting, then run for 10 sessions with zero unexplained variance.","Immutable paper order/fill ledger, entry/exit reason, timestamps, Dhan mark source, fees/slippage, daily reconciliation, exception report and ledger checksum.","Use double-entry accounting principles for positions and cash, idempotent event processing and daily signed reconciliation artifacts.","Zero unexplained ledger differences for 10 consecutive market sessions; total P&L equals sum of reconciled fills and costs.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P06","P0","Quant Research Agent","Design and execute a leakage-free, costed walk-forward evaluation with regime slices and confidence intervals. Report negative results honestly. Do not optimize on final OOS data or claim readiness from eight trades.","Frozen datasets, train/validation/test splits by time, costs/slippage model, corporate-action handling, parameter search log, OOS trades, confidence intervals, drawdown, turnover and benchmark comparison.","Require purged/embargoed walk-forward validation, realistic capacity/slippage, multiple-comparison controls and champion-challenger shadow testing.","Positive net expectancy and profit factor >1 with statistically defensible confidence across multiple regimes; acceptable drawdown; no leakage; independent reproduction.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P07","P1","Options Data Agent","Trace the stale no-contract blocker, bind Data Integrity and gates to the verified Dhan chain snapshot contract, and add regression tests for market-closed verified snapshots.","Four required-symbol snapshots, CE/PE presence, contract/strike counts, expiry coverage, source=dhan, completeness flag, freshness and artifact hashes.","Promote a chain snapshot only when completeness, provenance and freshness rules pass; store snapshot ID and checksum.","Data Integrity, E2E, Trade and gate ledger all show same 4/4 status and counts for the same snapshot IDs.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P08","P1","Frontend Contract Agent","Locate the 100x scaling error, declare win_rate units in the API schema, centralize formatting and add edge-case/cross-page tests.","Raw wins/trades payload, formatter unit test, UI snapshots and cross-page equality test.","Define metric units in schemas (fraction vs percent) and centralize formatting.","All panels display 33.3% for 3/9 and handle 0, null and fractional inputs correctly.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P09","P1","Portfolio Risk Agent","Audit every exposure field, add authority/context/source/timestamp metadata, reconcile broker exposure to 11 holdings plus 1 position, and update labels and tests.","Source-tagged exposure payloads, reconciliation to holdings/positions, valuation timestamp and context labels.","Use typed portfolio contexts and prohibit aggregation across authorities without an explicit reconciliation view.","No unlabeled exposure number; broker, paper and analyzer values reconcile independently and display timestamps.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
"P10","P0","Independent Risk Agent","Independently reproduce VaR/ES and Greeks from broker positions. Explain zero Greeks for POWERGRID CE, validate contract mapping, add stress/liquidity scenarios, and provide backtest exceptions.","Position-level valuation inputs, return window, VaR/ES method, stress scenarios, Greeks source/calculation, option contract mapping, backtesting exceptions and independent benchmark.","Use independent risk calculation, historical plus parametric cross-checks, stressed ES, liquidity add-ons and explicit model-risk reserves.","Non-zero justified Greeks for option positions; VaR backtest within policy; stress and concentration limits defined and enforced.","Return JSON: {status: PASS|FAIL|BLOCKED, evidence_sources:[], artifact_paths:[], metrics:{}, acceptance_checks:[], blockers:[], owner:"""", next_action:"""", generated_at:"""", build_sha:""""}. Never claim PASS without artifact paths and reproducible checks."
