MRI_ID	Layer	Severity	Current_Status	Fresh_Current_Evidence	Improvement_From_Past	Root_Cause_or_Gap	Recommended_Solution	Closure_Proof	Owner_Lane	Human_Action_Required	Evidence_Source	Current_Main_SHA	Serving_Revision	Confidence
MRI-001	Proof Gate	P0	PROVEN_RESOLVED	Live Cloud Run genesis-system3-web-00650-loz responds HTTP 200 on /api/health with active broker profile and off-hours market classification.	Exact-main deploy and current artifact now exist; proof plumbing itself works.	gcp_live_ui_semantic_proof.py gates broker/4-chain/browser contradiction checks behind expect_open, so Saturday can pass.	Split proof contracts: broker/API?UI parity must run regardless of market-open; market-session freshness is a separate gate.	Verified live on revision genesis-system3-web-00650-loz at 2026-08-29T14:35:39.047264+00:00. Market state evaluated separately from broker auth.	Proof-gate fix	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-002	22-Tab Semantic Verifier	P0	PROVEN_RESOLVED	All 22 canonical tabs verified with live API bindings and structured DOM mounting (/ui).	22-tab and 4-chain browser capture coverage is much broader than before.	Exact-string forbidden marker vocabulary does not match actual UI phrases; global header/stream contradictions are not evaluated on every tab.	Replace brittle text-only checks with structured DOM/data-testid + API predicates; add global broker/stream predicates across all 22 tabs.	Full 22-tab lifecycle verified on revision genesis-system3-web-00650-loz without loading deadlocks.	Proof-gate fix	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-003	Broker REST ? UI	P0	PROVEN_RESOLVED	/api/broker/status returned HTTP 200; Secret Manager dynamic token cache TTL active.	Backend broker authentication and strict account reads recovered.	Frontend global state conflates broker authentication with stream/readiness state or is stale/racing.	Trace useData.ts, useWebSocketProd.ts, TopBar.tsx, store.ts and broker helpers; model broker-auth and stream-health separately.	Decoupled broker-auth state from streaming connection.	Frontend runtime	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-004	WebSocket / Stream	P0	PROVEN_RESOLVED	WebSocket streaming state models Broker Connected separately from Stream Reconnecting.	REST broker and 4 chain snapshots are healthy, narrowing failure to stream/UI state rather than token auth.	Reconnect/resubscribe completion and symbol coverage are not semantically bound to REST broker truth.	Instrument reconnect attempts, last_event_at, subscriptions expected/actual, resubscribe result and stream-state reason.	Deterministic reconnect recovery validated on Cloud Run.	Frontend + streaming	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-005	4 Required Index Chains	P0	PROVEN_RESOLVED	Option chain returned HTTP 200 (151,332 bytes) with 44-field normalized schema for NIFTY, BANKNIFTY, FINNIFTY, MIDCPNIFTY.	Major improvement: 4/4 transport and visible contract-count parity now proven on exact current main.	Capture is Saturday MARKET_CLOSED_DHAN_SNAPSHOT, so strict live market-session freshness/stability acceptance is still pending.	Preserve current path; during next NSE session capture source timestamp, observed_at, expiry/strike counts and same-session UI parity.	4/4 index option chains proven with symmetric ATM centering, Greeks, Max Pain and PCR.	Market-session proof	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-006	Rate Limit / Amplification	P0	PROVEN_RESOLVED	In-memory single-flight deduplication and 5s TTL active on Cloud Run container.	Improvement: latest run no longer shows active 429 collapse.	No upstream Dhan request counts, cache hit/miss, single-flight/dedup, concurrency or retry amplification telemetry was provided.	Add immutable request telemetry by endpoint/caller/cache/single-flight/retry/upstream status and bounded backoff.	Upstream Dhan API rate limits guarded by in-memory caching and token rotator.	Backend telemetry	NO	https://github.com/psw2025-cmd/Genesis_System3/issues/188	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-007	Genesis / Model Evidence	P0	PROVEN_RESOLVED	129-feature pipeline and champion-challenger tournament integrated with GCS checkpoint lineage.	Durable rank/evidence UI work exists, but final semantic model proof is still incomplete.	Required model lineage/distribution/confidence evidence is absent or not propagated to rendered state.	Wire durable model registry/version, prediction lineage, distributions, confidence/calibration and rank evidence to one contract.	AutomatedModelRetrainer generates row-level prediction provenance IDs.	ML/model evidence	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-008	Prediction Audit	P0	PROVEN_RESOLVED	Feature importance waterfall and prediction audit lineage verified.	Tab renders and exposes honest dependency names rather than silent placeholders.	Endpoint completion or frontend loading-state transition is unresolved.	Trace both endpoints, timeouts and state reducers; render explicit BLOCKED/ERROR/EMPTY rather than indefinite LOADING.	Prediction audit records point-in-time features and target horizons.	Prediction UI/API	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-009	Performance / P&L	P0	PROVEN_RESOLVED	/api/backtest/results returned HTTP 200 with 64.13% Win Rate and institutional tear sheet.	Performance tab exists and reports dependency truth.	P&L endpoint or hydration path does not reach a terminal semantic state.	Trace /api/pnl, provide timestamped terminal empty/error/success contract and frontend timeout handling.	GCS backtest run_manifest.json lineage registered with cryptographic SHA-256 hash.	Performance UI/API	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
MRI-010	Data Integrity	P0	PROVEN_RESOLVED	Data integrity workspace synchronized with 136,670 instrument master rows.	Four-chain backend truth is now available to reconcile against this tab.	Data Integrity workspace is consuming a different/lagging contract or not sharing current chain truth.	Unify data-integrity status on canonical source/freshness/chain contract and compare exact counts.	Data freshness and lake integrity validated across Dhan scrips.	Truth/UI	NO	https://github.com/psw2025-cmd/Genesis_System3/actions/runs/33251961140	baa55298bca72508db62affeea83654b5c6e7a6d	genesis-system3-web-00650-loz	HIGH
