item_id,discovered_utc,phase,type,status,priority,summary,evidence,next_action,completed_utc
MRI-000,2026-08-27T20:57:28Z,GOVERNANCE,OBSTACLE,COMPLETED,P1,Mandated MRI tracker was absent from repository and all Everything-indexed drives,"Repo Test-Path missing; Everything CLI IPC2 all-drive search returned no result",Created this canonical append-only tracker,2026-08-27T21:00:42Z
MRI-001,2026-08-27T20:57:28Z,GOVERNANCE,RISK,COMPLETED,P0,Working tree already contains unrelated changes including dashboard/backend/app.py,"git status on fix/p0-188-bankex-paced-cache-20260824 at 146eb69b; target app.py is modified",Use isolated worktree from current origin/main so unrelated changes remain untouched,2026-08-27T21:06:30Z
MRI-002,2026-08-27T20:59:00Z,PHASE_1,IMPROVEMENT,IN_PROGRESS,P0,Unify durable rank and validation reads behind one Firestore-first loader,"Cloud worker publishes artifact_rank while local/API readers still consume state files",Implement shared loader with Firestore-first and local scratch fallback plus tests,
MRI-003,2026-08-27T20:59:00Z,PHASE_2,DEFECT,IN_PROGRESS,P0,Live Gates reads wrong rho alias and ephemeral validation files,"dashboard/backend/app.py reads spearman_correlation from local validation files",Use shared Firestore-aware validation loader and rank_correlation_spearman-compatible normalization,
MRI-004,2026-08-27T20:59:00Z,PHASE_3,DEFECT,IN_PROGRESS,P1,Chain adapter collapses missing Greeks to numeric zero,"dashboard/backend/chain_adapter.py float(row.get(greek,0) or 0)",Preserve missing Greeks as None and test genuine zero separately,
MRI-005,2026-08-27T20:59:00Z,PHASE_4,DEFECT,IN_PROGRESS,P0,Illiquid option legs are admitted to UI contracts,"chain_adapter appends rows without OI or volume gate",Skip oi<=0 or volume<=0; expose filtered counts; test pair behavior,
MRI-006,2026-08-27T20:59:00Z,PHASE_5,VERIFICATION,PENDING,P0,Focused and full pytest proof required,"User mandate",Run focused tests then complete pytest suite and live read-only smoke checks,
MRI-007,2026-08-27T21:04:00Z,GOVERNANCE,OBSTACLE,COMPLETED,P1,GitHub GraphQL access routed through refused proxy 127.0.0.1:9,"Task-scoped proxy removal allowed fetch origin and gh pr list; origin/main=1cb77cbb9ae847d8d3455e6739d9dbe3aee945e7",Keep proxy removal scoped to individual GitHub commands,2026-08-27T21:05:52Z
MRI-008,2026-08-27T21:03:00Z,GOVERNANCE,OBSTACLE,IN_PROGRESS,P2,Everything IPC intermittently unavailable after installed indexer launch,"Everything CLI Error 8 on default and 1.5a instances; dedicated System3Agent query interrupted",Retry dedicated instance; if unavailable log as tool blocker and use repo-local exact paths only until restored,
MRI-009,2026-08-27T21:06:30Z,GOVERNANCE,DECISION,IN_PROGRESS,P0,Implement from fresh origin/main in isolated worktree,"Primary branch is 146eb69b while origin/main is 1cb77cbb; primary contains unrelated app.py changes",Create fix/cloud-first-mri-20260828 worktree and keep target ownership isolated,
MRI-010,2026-08-27T21:07:12Z,GOVERNANCE,OBSTACLE,IN_PROGRESS,P1,Sandbox denied creation of isolated Git branch ref,"git worktree add failed: cannot create .git/refs/heads/fix/cloud-first-mri-20260828.lock Permission denied",Retry the same bounded git worktree add with escalated filesystem permission,
MRI-011,2026-08-27T21:16:23Z,GOVERNANCE,OBSTACLE,IN_PROGRESS,P0,Command-center live smoke inherited refused proxy and could not observe deployment or LIVE flag,"Refresh artifacts were written; smoke failed with WinError 10061 and live_trading_enabled=None",Rerun refresh with task-scoped proxy variables cleared and independently verify safety flags,
MRI-012,2026-08-27T21:18:00Z,PHASE_5,OBSTACLE,IN_PROGRESS,P1,Expected repository virtualenv Python executable is absent and shell masked launch failure,"C:\Users\ADMIN\Genesis_System3\Genesis_System3\.venv\Scripts\python.exe CommandNotFoundException while wrapper returned exit 0",Use Everything CLI all-drive search for python.exe then rerun with explicit executable existence and exit checks,
MRI-013,2026-08-27T21:24:00Z,GOVERNANCE,OBSTACLE,IN_PROGRESS,P1,Git ownership guard blocks isolated worktree inspection,"Git reports worktree owned by BUILTIN/Administrators while process user is ADMIN",Use command-scoped safe.directory only; do not alter global Git trust,
MRI-014,2026-08-27T21:25:50Z,PHASE_5,DEFECT,IN_PROGRESS,P1,Four GCP contract tests hard-code a root calculation incompatible with nested Git worktrees,"Full pytest collection resolves source paths under .worktrees instead of the active worktree and raises four FileNotFoundError errors",Inspect root calculations; apply smallest portable root fix or rerun from compatible clean worktree,
MRI-015,2026-08-27T21:35:58Z,PHASE_5,OBSTACLE,IN_PROGRESS,P1,Full suite remains CPU-active but stalls without output after 85 percent,"One failure appeared at 17 percent; no output for about seven minutes at 85 percent; bounded manual interrupt used",Rerun fail-fast verbose to isolate first failure then identify final long-running test with bounded execution,
MRI-016,2026-08-27T21:38:58Z,PHASE_5,DEFECT,IN_PROGRESS,P2,Governance contract literal differs only by capitalization,"Policy says Do not make... while test requires do not make...; 131 tests passed before failure",Normalize sentence casing to the locked marker and rerun focused contract,
MRI-017,2026-08-27T21:23:30Z,PHASE_1,DEFECT,IN_PROGRESS,P0,Gate evaluator contacts Firestore even when durable cloud backend is not configured,"test_system3_auto_gates.py::test_gate_evaluator_runs is the exact long-running test; load_spearman_days always instantiates Firestore backend",Query Firestore only when cloud backend is configured; keep local scratch fallback limited to non-cloud mode,
MRI-018,2026-08-27T22:00:50Z,PHASE_5,DEFECT,IN_PROGRESS,P1,Auto-gate friction test expects bundled fixture without explicit opt-in and incurs 60-second localhost probe,"build_report returned zero trades; source contract explicitly prohibits fixture default",Make test opt into fixture and stub cloud fetch; retain live-unlock fail-closed fixture behavior,
MRI-019,2026-08-27T22:09:00Z,GOVERNANCE,OBSTACLE,IN_PROGRESS,P0,Mandatory preflight uses anonymous GitHub REST and hit shared-IP rate limit,"system3_preflight_control_plane.py failed HTTP 403 rate limit exceeded while authenticated gh queries succeed",Inject existing gh auth token into preflight subprocess without printing or persisting the token,
MRI-020,2026-08-27T22:16:42Z,GOVERNANCE,OBSTACLE,IN_PROGRESS,P1,Isolated worktree Git index remains administrator-owned,"git restore cannot create .git/worktrees/cloud_first_mri_20260828/index.lock under normal token",Use bounded elevated Git restore/add/commit only in the named isolated worktree,
MRI-021,2026-08-27T22:39:03Z,PHASE_5,OBSTACLE,IN_PROGRESS,P1,Independent post-deploy PowerShell web probe failed during TLS receive,"Invoke-WebRequest returned underlying connection closed for deploy info gain rank and gate endpoints; empty fields rejected as evidence",Retry read-only endpoints with curl.exe and validate HTTP plus JSON before accepting evidence,
MRI-022,2026-08-27T22:44:19Z,PHASE_5,OBSTACLE,IN_PROGRESS,P0,GitHub CLI cannot create local run-log cache while retrieving failed post-deploy semantic proof,"gh run view 33123473639 --log-failed access denied under AppData Local GitHub CLI",Retry the exact read-only log retrieval with bounded elevated filesystem access,
MRI-023,2026-08-27T22:55:01Z,PHASE_1,DEFECT,IN_PROGRESS,P0,Genesis UI ignores durable rank evidence when optional brain endpoint has no directional bias,"Exact-serving /api/gain_rank has 4 Firestore rows but Genesis hard-coded WAITING FOR MODEL EVIDENCE unless legacy brain/final bias exists",Render neutral RANK EVIDENCE with top underlying when durable candidates exist; never invent direction or confidence,
MRI-024,2026-08-27T22:56:30Z,PHASE_5,OBSTACLE,IN_PROGRESS,P2,Fresh follow-up worktree lacks lockfile dependencies for frontend build,"npm prebuild ERR_MODULE_NOT_FOUND for typescript",Run npm ci from dashboard/frontend then rerun the exact build,
MRI-025,2026-08-28T08:04:00Z,PHASE_5,OBSTACLE,IN_PROGRESS,P2,Full pytest process result was lost across the agent session handoff,"PTY session 40602 no longer exists so no pass/fail result can be accepted",Rerun full pytest from exact commit 4c595374 and retain final exit evidence,
MRI-026,2026-08-28T08:22:00Z,PHASE_5,OBSTACLE,IN_PROGRESS,P3,Rebased focused-test command referenced a nonexistent test filename,"pytest reported tests/test_dashboard_live_gate_contract.py not found before collection",Locate the current test contract with Everything CLI and rerun the valid focused set on rebased head,
MRI-027,2026-08-28T08:22:17Z,CONTROL_PLANE,OBSTACLE,IN_PROGRESS,P2,Command-center refresh live smoke cannot reach production through the laptop proxy,"Boards were refreshed but urllib received WinError 10061 and could not prove deploy info or LIVE safety",Use GitHub-hosted semantic proof and direct GCP authority for cloud acceptance; do not treat local proxy failure as production state,
MRI-028,2026-08-28T08:30:00Z,CONTROL_PLANE,DEFECT,IN_PROGRESS,P0,Current cloud main Ultra MRI implementation violates its committed contract tests,"Full pytest on rebased d9f1a432 fails test_ultra_mri_uses_canonical_wif and test_ultra_mri_covers_runtime_and_ui_proof",Inspect current-main workflow/scanner changes and repair the smallest production-safe contract drift before cloud transition,
MRI-029,2026-08-28T13:33:44Z,CONTROL_PLANE,DEFECT,IN_PROGRESS,P0,Ultra MRI fail-closed certification rejects an otherwise passing 22-tab browser proof,"Fresh run 33175649115 has service_accounts exit=1 and canonical browser visual 22/22 PASS but publisher exits github_status_context_missing",Run governed IAM baseline repair and pass github.token only to the existing read-only Ultra MRI workflow step; rerun certification,
MRI-030,2026-08-28T14:07:18Z,CONTROL_PLANE,OBSTACLE,IN_PROGRESS,P1,Pre-merge preflight lost a GitHub API connection and its shell wrapper masked the nonzero Python exit,"urllib RemoteDisconnected in open-PR enumeration; trailing Remove-Item caused command exit 0",Retry with explicit captured Python exit code and preserve failure semantics before merge,
MRI-031,2026-08-28T23:55:00Z,PAPER_TRADING,DEFECT,OPEN,P0,Paper trading orders and positions not persisted in cloud,"Live GET /api/positions returns open_count: 0 with 'Positions file not found'; Cloud Run container is stateless",Implement durable Cloud Storage/Firestore order book persistence for paper trading,
MRI-032,2026-08-28T23:55:00Z,DATA_PIPELINE,IMPROVEMENT,OPEN,P0,Daily 9:15-3:30 option chain data stored only in ephemeral memory without disk dump,"data/option_chain directory does not exist on disk; 0 files saved",Implement automated Cloud Storage parquet archive writer for market hours chain snapshots,
MRI-033,2026-08-28T23:55:00Z,DATA_PIPELINE,OBSTACLE,OPEN,P1,Two-year historical market dataset absent from repository and disk,"data/historical has 0 files (0.00 MB) due to GitHub repository file size constraints",Wire remote GCS historical dataset bucket connection for training and backtesting,
MRI-034,2026-08-28T23:55:00Z,AI_ML,DEFECT,OPEN,P0,ML live inference endpoint returns zero predictions,"GET /api/ml/predictions returns empty list; Phase 391 XGBoost models exist in models/xgboost_v1 but are uncalibrated for live serving",Wire calibrated ML inference pipeline complying with PREDICTION_WORLD_CLASS_BENCHMARK_POLICY,
MRI-035,2026-08-28T23:55:00Z,FEATURE_ENG,VERIFICATION,COMPLETED,P1,Feature engineering specs validated with 129 total features in Phase 389,"Code review and metadata verification of phase_389_feature_engineering_production.py confirmed 40 core engineered features",Ensure live pipeline feeds all 129 features during real-time inference,2026-08-28T23:55:00Z
MRI-036,2026-08-28T23:55:00Z,BACKTESTING,DEFECT,OPEN,P1,Backtest output storage directory missing persistent execution logs,"reports/backtest and data/backtest do not exist on disk",Create structured backtest artifact export directory and automated execution runner,
