type,key,count,paths
same_basename,settings.json,3,.claude/settings.json | .cursor/settings.json | .vscode/settings.json
same_basename,.gitignore,2,.gitignore | google-cloud-sdk/platform/gsutil/third_party/urllib3/.gitignore
same_basename,.pre-commit-config.yaml,2,.pre-commit-config.yaml | google-cloud-sdk/platform/gsutil/third_party/urllib3/.pre-commit-config.yaml
same_basename,tasks.json,2,.vscode/tasks.json | agent_memory/tasks.json
same_basename,README.md,22,README.md | dashboard/README.md | docs/ultra_micro/README.md | reports/ci_truth/README.md | reports/latest/analyzer_paper_lifecycle_proof/README.md | reports/latest/auto_recovery_blockers/README.md | reports/latest/dashboard_endpoint_coverage/README.md | reports/latest/dashboard_truth_proof/README.md | reports/latest/dashboard_ultra_readiness/README.md | reports/latest/deployment_and_endpoint_proof/README.md | reports/latest/entrypoint_classification/README.md | reports/latest/external_data_yahoo/README.md | reports/latest/fresh_data_automation_proof/README.md | reports/latest/full_repo_verification/README.md | reports/latest/model_training_load_proof/README.md | reports/latest/production_grade_readiness/README.md | reports/latest/proof_status_matrix/README.md | reports/latest/recent_backtest_walkforward_proof/README.md | reports/latest/render_endpoint_proof/README.md | reports/latest/repo_authority_and_duplicate_control/README.md | reports/latest/safety_and_secrets/README.md | reports/latest/system3_master_control_plane/README.md
same_basename,ai_scan.txt,2,ai_scan.txt | archive/root_clutter/ai_scan.txt
same_basename,COMPLETE_VALIDATION_REPORT.md,2,archive/root_clutter/COMPLETE_VALIDATION_REPORT.md | docs/COMPLETE_VALIDATION_REPORT.md
same_basename,start_backend.bat,2,archive/root_clutter/start_backend.bat | scripts/start_backend.bat
same_basename,system3_phase331_signal_integrity.py,2,archive/root_clutter/system3_phase331_signal_integrity.py | core/engine/system3_phase331_signal_integrity.py
same_basename,test_phases_261_300.py,2,archive/root_clutter/test_phases_261_300.py | tests/auto/system3_generated_tests/test_phases_261_300.py
